Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
51,Alejandro Balde,es ESP,DF,es Barcelona,19,2003,6,3,331,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,29,17,37,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
52,Michel-Ange Balikwisha,be BEL,"FW,MF",be Antwerp,22,2001,5,5,384,4.3,1,0,1,1,0,0,0,0,0.7,0.7,0.6,1.2,12,14,24,0.23,0.00,0.23,0.23,0.23,0.16,0.13,0.29,0.16,0.29,Matches
53,David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Simon Banza,cd COD,FW,pt Braga,26,1996,6,4,341,3.8,0,1,1,0,0,0,2,0,1.1,1.1,0.2,1.3,5,10,28,0.00,0.26,0.26,0.00,0.26,0.29,0.05,0.34,0.29,0.34,Matches
55,Bradley Barcola,fr FRA,"FW,DF",fr Paris S-G,20,2002,10,5,475,5.3,1,1,2,1,0,0,0,0,2.3,2.3,0.7,3.0,36,22,76,0.19,0.19,0.38,0.19,0.38,0.44,0.12,0.56,0.44,0.56,Matches
56,Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,28,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,6,34,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
57,Roony Bardghji,se SWE,"MF,FW",dk FC Copenhagen,17,2005,4,1,146,1.6,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,6,2,8,0.62,0.00,0.62,0.62,0.62,0.28,0.21,0.49,0.28,0.49,Matches
58,Nicolò Barella,it ITA,MF,it Inter,26,1997,8,4,468,5.2,0,1,1,0,0,0,1,0,0.9,0.9,1.8,2.7,10,46,24,0.00,0.19,0.19,0.00,0.19,0.16,0.35,0.51,0.16,0.51,Matches
59,Harvey Barnes,eng ENG,FW,eng Newcastle Utd,25,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Romário Baró,pt POR,MF,pt Porto,23,2000,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
