Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
13.0,Sat,2022-11-05,15:00 (16:00),Empoli,1.2,1–0,0.6,Sassuolo,7834.0,Stadio Carlo Castellani,Ermanno Feliciani,Match Report,
13.0,Sat,2022-11-05,15:00 (16:00),Salernitana,1.3,2–2,1.7,Cremonese,16780.0,Stadio Arechi,Matteo Marchetti,Match Report,
13.0,Sat,2022-11-05,18:00 (19:00),Atalanta,2.0,1–2,1.3,Napoli,19363.0,Gewiss Stadium,Maurizio Mariani,Match Report,
13.0,Sat,2022-11-05,20:45 (21:45),Milan,2.2,2–1,1.6,Spezia,71099.0,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
13.0,Sun,2022-11-06,12:30 (13:30),Bologna,2.0,2–1,1.0,Torino,23168.0,Stadio Renato Dall'Ara,Antonio Giua,Match Report,
13.0,Sun,2022-11-06,15:00 (16:00),Monza,1.3,2–0,0.4,Hellas Verona,11723.0,U-Power Stadium,Francesco Cosso,Match Report,
13.0,Sun,2022-11-06,15:00 (16:00),Sampdoria,0.8,0–2,0.9,Fiorentina,19226.0,Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,
13.0,Sun,2022-11-06,18:00 (19:00),Roma,0.5,0–1,0.6,Lazio,62847.0,Stadio Olimpico,Daniele Orsato,Match Report,
13.0,Sun,2022-11-06,20:45 (21:45),Juventus,0.9,2–0,1.2,Inter,40093.0,Allianz Stadium,Daniele Doveri,Match Report,
,,,,,,,,,,,,,
14.0,Tue,2022-11-08,18:30 (19:30),Spezia,2.0,1–1,0.6,Udinese,6900.0,Stadio Alberto Picco,Marco Piccinini,Match Report,
14.0,Tue,2022-11-08,18:30 (19:30),Napoli,2.0,2–0,0.3,Empoli,36000.0,Stadio Diego Armando Maradona,Luca Pairetto,Match Report,
14.0,Tue,2022-11-08,20:45 (21:45),Cremonese,0.3,0–0,1.0,Milan,14610.0,Stadio Giovanni Zini,Antonio Rapuano,Match Report,
14.0,Wed,2022-11-09,18:30 (19:30),Lecce,1.1,2–1,1.5,Atalanta,23797.0,Stadio Comunale Via Del Mare,Gianluca Aureliano,Match Report,
14.0,Wed,2022-11-09,18:30 (19:30),Sassuolo,1.2,1–1,0.7,Roma,16665.0,Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,Match Report,
14.0,Wed,2022-11-09,20:45 (21:45),Inter,2.6,6–1,0.7,Bologna,69312.0,Stadio Giuseppe Meazza,Andrea Colombo,Match Report,
14.0,Wed,2022-11-09,20:45 (21:45),Fiorentina,2.8,2–1,0.5,Salernitana,27329.0,Stadio Artemio Franchi,Federico La Penna,Match Report,
14.0,Wed,2022-11-09,20:45 (21:45),Torino,0.5,2–0,0.5,Sampdoria,15593.0,Stadio Olimpico di Torino,Davide Massa,Match Report,
14.0,Thu,2022-11-10,18:30 (19:30),Hellas Verona,1.2,0–1,1.1,Juventus,21934.0,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Match Report,
14.0,Thu,2022-11-10,20:45 (21:45),Lazio,1.5,1–0,0.5,Monza,36000.0,Stadio Olimpico,Alberto Santoro,Match Report,
,,,,,,,,,,,,,
15.0,Fri,2022-11-11,20:45 (21:45),Empoli,2.2,2–0,1.3,Cremonese,8077.0,Stadio Carlo Castellani,Federico Dionisi,Match Report,
15.0,Sat,2022-11-12,15:00 (16:00),Napoli,1.5,3–2,0.7,Udinese,51000.0,Stadio Diego Armando Maradona,Giovanni Ayroldi,Match Report,
15.0,Sat,2022-11-12,18:00 (19:00),Sampdoria,0.7,0–2,0.6,Lecce,20211.0,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
15.0,Sat,2022-11-12,20:45 (21:45),Bologna,0.8,3–0,0.8,Sassuolo,20811.0,Stadio Renato Dall'Ara,Ivan Pezzuto,Match Report,
15.0,Sun,2022-11-13,12:30 (13:30),Atalanta,1.8,2–3,2.2,Inter,19353.0,Gewiss Stadium,Daniele Chiffi,Match Report,
15.0,Sun,2022-11-13,15:00 (16:00),Roma,1.7,1–1,0.9,Torino,61168.0,Stadio Olimpico,Antonio Rapuano,Match Report,
15.0,Sun,2022-11-13,15:00 (16:00),Hellas Verona,2.1,1–2,0.8,Spezia,18000.0,Stadio Marc'Antonio Bentegodi,Fabio Maresca,Match Report,
15.0,Sun,2022-11-13,15:00 (16:00),Monza,2.4,3–0,0.2,Salernitana,12372.0,U-Power Stadium,Antonio Giua,Match Report,
15.0,Sun,2022-11-13,18:00 (19:00),Milan,1.5,2–1,0.5,Fiorentina,73007.0,Stadio Giuseppe Meazza,Simone Sozza,Match Report,
15.0,Sun,2022-11-13,20:45 (21:45),Juventus,1.6,3–0,0.4,Lazio,38729.0,Allianz Stadium,Davide Massa,Match Report,
,,,,,,,,,,,,,
16.0,Wed,2023-01-04,12:30 (13:30),Sassuolo,1.8,1–2,1.3,Sampdoria,8000.0,Mapei Stadium - Città del Tricolore,Fabio Maresca,Match Report,
16.0,Wed,2023-01-04,12:30 (13:30),Salernitana,0.7,1–2,2.7,Milan,29541.0,Stadio Arechi,Francesco Fourneau,Match Report,
16.0,Wed,2023-01-04,14:30 (15:30),Spezia,1.5,2–2,2.1,Atalanta,7417.0,Stadio Alberto Picco,Antonio Giua,Match Report,
16.0,Wed,2023-01-04,14:30 (15:30),Torino,0.4,1–1,0.9,Hellas Verona,15000.0,Stadio Olimpico di Torino,Federico Dionisi,Match Report,
16.0,Wed,2023-01-04,16:30 (17:30),Lecce,1.3,2–1,0.7,Lazio,26084.0,Stadio Comunale Via Del Mare,Livio Marinelli,Match Report,
