Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
496,André Pereira,pt POR,"FW,MF",pt Porto,23,1995,0.7,0,1,0,0.0,1.36,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
497,Andreas Pereira,br BRA,"MF,FW",eng Manchester Utd,22,1996,2.1,0,2,1,50.0,0.94,0.47,0.00,0.00,27.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
498,Danilo Pereira,pt POR,MF,pt Porto,26,1991,10.3,0,14,2,14.3,1.35,0.19,0.00,0.00,20.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
499,Maxi Pereira,uy URU,DF,pt Porto,34,1984,7.0,0,2,1,50.0,0.28,0.14,0.00,0.00,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
500,Gastón Pereiro,uy URU,MF,nl PSV Eindhoven,23,1995,4.3,0,10,2,20.0,2.31,0.46,0.00,0.00,20.3,3,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
501,Luan Peres Petroni,br BRA,DF,be Club Brugge,24,1994,0.2,0,1,1,100.0,4.09,4.09,0.00,0.00,6.1,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
502,Ivan Perišić,hr CRO,FW,it Inter,29,1989,5.5,0,13,4,30.8,2.34,0.72,0.00,0.00,17.1,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
503,Luděk Pernica,cz CZE,DF,cz Viktoria Plzeň,28,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
504,Diego Perotti,ar ARG,"FW,MF",it Roma,30,1988,1.7,0,1,0,0.0,0.60,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
505,Milan Petržela,cz CZE,FW,cz Viktoria Plzeň,35,1983,2.5,0,6,1,16.7,2.38,0.40,0.00,0.00,18.0,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
506,Maximilian Philipp,de GER,FW,de Dortmund,24,1994,0.9,0,3,0,0.0,3.18,0.00,0.00,,20.5,1,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
507,Cristiano Piccini,it ITA,DF,es Valencia,25,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,20.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
508,Gerard Piqué,es ESP,DF,es Barcelona,31,1987,11.0,2,2,2,100.0,0.18,0.18,1.00,1.00,10.2,0,0,0,1.0,1.0,0.50,+1.0,+1.0,Matches
509,Łukasz Piszczek,pl POL,DF,de Dortmund,33,1985,5.0,0,3,0,0.0,0.60,0.00,0.00,,9.7,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches
510,Pizzi,pt POR,MF,pt Benfica,28,1989,3.5,0,1,0,0.0,0.28,0.00,0.00,,19.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
511,Miralem Pjanić,ba BIH,MF,it Juventus,28,1990,9.0,2,14,3,21.4,1.56,0.33,0.00,0.00,26.6,0,2,2,2.1,0.5,0.04,-0.1,-0.5,Matches
512,Paul Pogba,fr FRA,MF,eng Manchester Utd,25,1993,8.1,2,14,7,50.0,1.73,0.87,0.07,0.14,26.5,1,1,1,1.8,1.0,0.07,+0.2,0.0,Matches
513,Matteo Politano,it ITA,FW,it Inter,24,1993,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,22.8,3,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
514,Ilya Pomazun,ru RUS,GK,ru CSKA Moscow,21,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
515,Ezequiel Ponce,ar ARG,FW,gr AEK Athens,21,1997,5.4,0,8,1,12.5,1.47,0.18,0.00,0.00,15.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
516,Stefan Posch,at AUT,DF,de Hoffenheim,21,1997,2.0,0,1,0,0.0,0.50,0.00,0.00,,14.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
517,Benoît Poulain,fr FRA,DF,be Club Brugge,31,1987,6.0,0,1,0,0.0,0.17,0.00,0.00,,8.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
518,Roman Procházka,sk SVK,MF,cz Viktoria Plzeň,29,1989,4.7,1,7,4,57.1,1.49,0.85,0.14,0.25,21.9,1,0,1,1.0,0.2,0.03,0.0,+0.8,Matches
519,Christian Pulisic,us USA,FW,de Dortmund,19,1998,5.0,1,8,3,37.5,1.59,0.60,0.13,0.33,17.1,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches
520,Andriy Pyatov,ua UKR,GK,ua Shakhtar,34,1984,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
521,Adrien Rabiot,fr FRA,MF,fr Paris S-G,23,1995,3.2,0,4,0,0.0,1.27,0.00,0.00,,17.8,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
522,Rafael,br BRA,"DF,MF",fr Lyon,28,1990,2.6,0,1,0,0.0,0.38,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
523,Rafinha,br BRA,DF,de Bayern Munich,32,1985,4.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
524,Rafinha,br BRA,FW,es Barcelona,25,1993,0.9,1,3,3,100.0,3.42,3.42,0.33,0.33,16.0,0,0,0,0.7,0.7,0.23,+0.3,+0.3,Matches
525,Andrea Raggi,it ITA,DF,fr Monaco,34,1984,4.0,0,3,0,0.0,0.75,0.00,0.00,,14.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
526,Baba Rahman,gh GHA,DF,de Schalke 04,24,1994,0.8,0,1,0,0.0,1.20,0.00,0.00,,27.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
527,Ivan Rakitić,hr CRO,MF,es Barcelona,30,1988,11.3,1,20,6,30.0,1.77,0.53,0.05,0.17,22.9,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
528,Yaroslav Rakitskiy,ua UKR,DF,ua Shakhtar,28,1989,4.0,0,2,2,100.0,0.50,0.50,0.00,0.00,28.1,2,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
529,Sergio Ramos,es ESP,DF,es Real Madrid,32,1986,4.6,0,9,1,11.1,1.94,0.22,0.00,0.00,11.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
530,Marcus Rashford,eng ENG,FW,eng Manchester Utd,20,1997,8.0,2,30,9,30.0,3.74,1.12,0.03,0.11,21.0,5,1,1,3.1,2.3,0.08,-1.1,-1.3,Matches
531,Sergio Reguilón,es ESP,DF,es Real Madrid,21,1996,4.0,0,2,0,0.0,0.50,0.00,0.00,,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
532,Marco Reus,de GER,"MF,FW",de Dortmund,29,1989,5.8,1,10,3,30.0,1.72,0.52,0.10,0.33,16.7,1,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
533,Kaveh Rezaei,ir IRN,FW,be Club Brugge,26,1992,1.1,0,1,0,0.0,0.93,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
534,Jakub Řezníček,cz CZE,FW,cz Viktoria Plzeň,30,1988,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
535,Radim Řezník,cz CZE,DF,cz Viktoria Plzeň,29,1989,5.0,0,4,1,25.0,0.80,0.20,0.00,0.00,22.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
536,Franck Ribéry,fr FRA,"MF,FW",de Bayern Munich,35,1983,4.8,1,8,5,62.5,1.66,1.04,0.13,0.20,14.9,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches
537,Mats Rits,be BEL,MF,be Club Brugge,25,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
538,Arjen Robben,nl NED,"FW,MF",de Bayern Munich,34,1984,3.5,2,13,7,53.8,3.75,2.02,0.15,0.29,16.2,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches
539,Sergi Roberto,es ESP,"DF,MF",es Barcelona,26,1992,7.8,0,3,3,100.0,0.38,0.38,0.00,0.00,14.5,0,0,0,0.8,0.8,0.26,-0.8,-0.8,Matches
540,Andrew Robertson,sct SCO,DF,eng Liverpool,24,1994,11.2,0,6,3,50.0,0.54,0.27,0.00,0.00,17.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
541,Milan Rodić,rs SRB,DF,rs Red Star,27,1991,5.0,0,1,1,100.0,0.20,0.20,0.00,0.00,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
542,Rodri,es ESP,MF,es Atlético Madrid,22,1996,6.7,0,4,0,0.0,0.59,0.00,0.00,,18.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
543,Rodrigo,es ESP,FW,es Valencia,27,1991,4.8,0,5,1,20.0,1.05,0.21,0.00,0.00,11.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
544,Garry Rodrigues,cv CPV,"FW,MF",tr Galatasaray,27,1990,5.7,1,16,7,43.8,2.82,1.23,0.06,0.14,19.3,1,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
