Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
381,Senad Lulić,ba BIH,DF,it Lazio,34,1986,1.2,0,0,0,3,1,0,4,3,1,0,0,0,7,2,3,40.0,Matches
382,Vitali Lystsov,ru RUS,DF,ru Loko Moscow,25,1995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
383,Yann M'Vila,fr FRA,MF,gr Olympiacos,30,1990,5.9,0,0,0,3,5,0,1,12,3,0,0,0,27,6,2,75.0,Matches
384,Awer Mabil,au AUS,"FW,MF",dk Midtjylland,24,1995,5.0,0,0,0,2,3,1,13,4,3,1,0,0,29,2,8,20.0,Matches
385,Nicolas Madsen,dk DEN,"MF,FW",dk Midtjylland,20,2000,1.0,1,0,0,2,3,0,1,4,1,0,0,0,9,3,2,60.0,Matches
386,Stanislav Magkeev,ru RUS,MF,ru Loko Moscow,21,1999,2.2,0,0,0,1,1,0,1,7,2,0,0,0,13,3,1,75.0,Matches
387,Harry Maguire,eng ENG,DF,eng Manchester Utd,27,1993,5.0,2,0,0,7,2,0,0,5,3,0,0,0,25,17,7,70.8,Matches
388,Riyad Mahrez,dz ALG,"FW,MF",eng Manchester City,29,1991,9.0,0,0,0,8,15,2,33,6,7,0,0,0,38,3,4,42.9,Matches
389,Róbert Mak,sk SVK,"MF,FW",hu Ferencváros,29,1991,1.0,0,0,0,0,2,1,5,1,0,0,0,0,3,0,0,,Matches
390,Malcom,br BRA,"FW,MF",ru Zenit,23,1997,2.7,0,0,0,1,7,1,7,1,1,0,0,0,8,1,2,33.3,Matches
