Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
17.0,Sat,2014-12-20,15:30 (16:30),Stuttgart,0–0,Paderborn 07,55000.0,Mercedes-Benz Arena,Tobias Stieler,Match Report,
17.0,Sat,2014-12-20,15:30 (16:30),Leverkusen,1–1,Eint Frankfurt,30210.0,BayArena,Wolfgang Stark,Match Report,
17.0,Sat,2014-12-20,15:30 (16:30),Augsburg,2–1,Gladbach,30660.0,WWK Arena,Bastian Dankert,Match Report,
17.0,Sat,2014-12-20,15:30 (16:30),Werder Bremen,2–1,Dortmund,42100.0,Weserstadion,Manuel Gräfe,Match Report,
17.0,Sat,2014-12-20,15:30 (16:30),Schalke 04,0–0,Hamburger SV,61973.0,Veltins-Arena,Markus Schmidt,Match Report,
17.0,Sat,2014-12-20,18:30 (19:30),Wolfsburg,2–1,Köln,26824.0,Volkswagen Arena,Peter Gagelmann,Match Report,
17.0,Sun,2014-12-21,15:30 (16:30),Hertha BSC,0–5,Hoffenheim,39604.0,Olympiastadion Berlin,Peter Sippel,Match Report,
17.0,Sun,2014-12-21,17:30 (18:30),Freiburg,2–2,Hannover 96,23550.0,Schwarzwald-Stadion,Günter Perl,Match Report,
,,,,,,,,,,,
18.0,Fri,2015-01-30,20:30 (21:30),Wolfsburg,4–1,Bayern Munich,30000.0,Volkswagen Arena,Tobias Welz,Match Report,
18.0,Sat,2015-01-31,15:30 (16:30),Mainz 05,5–0,Paderborn 07,27114.0,Opel Arena,Robert Hartmann,Match Report,
18.0,Sat,2015-01-31,15:30 (16:30),Freiburg,4–1,Eint Frankfurt,24000.0,Schwarzwald-Stadion,Felix Zwayer,Match Report,
18.0,Sat,2015-01-31,15:30 (16:30),Hamburger SV,0–2,Köln,56053.0,Volksparkstadion,Wolfgang Stark,Match Report,
18.0,Sat,2015-01-31,15:30 (16:30),Stuttgart,0–1,Gladbach,46200.0,Mercedes-Benz Arena,Christian Dingert,Match Report,
18.0,Sat,2015-01-31,15:30 (16:30),Schalke 04,1–0,Hannover 96,61646.0,Veltins-Arena,Sascha Stegemann,Match Report,
18.0,Sat,2015-01-31,18:30 (19:30),Leverkusen,0–0,Dortmund,30210.0,BayArena,Knut Kircher,Match Report,
