Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
222,Matthias Ginter,de GER,"DF,MF",de Dortmund,22,1994,5.9,,9,,,,,,,,,,,7,,,,Matches
223,Olivier Giroud,fr FRA,FW,eng Arsenal,29,1986,3.5,,5,,,,,,,,,,,0,,,,Matches
224,Kamil Glik,pl POL,"DF,MF",fr Monaco,28,1988,10.0,,5,,,,,,,,,,,28,,,,Matches
225,Diego Godín,uy URU,DF,es Atlético Madrid,30,1986,11.0,,18,,,,,,,,,,,28,,,,Matches
226,Evandro Goebel,br BRA,MF,pt Porto,29,1986,0.1,,1,,,,,,,,,,,1,,,,Matches
227,Amer Gojak,ba BIH,MF,hr Dinamo Zagreb,19,1997,1.7,,1,,,,,,,,,,,1,,,,Matches
228,Aleksandr Golovin,ru RUS,"FW,MF",ru CSKA Moscow,20,1996,5.5,,15,,,,,,,,,,,17,,,,Matches
229,André Gomes,pt POR,MF,es Barcelona,23,1993,5.2,,11,,,,,,,,,,,5,,,,Matches
230,José Gomes,pt POR,"DF,FW",pt Benfica,17,1999,0.1,,0,,,,,,,,,,,0,,,,Matches
231,Maxime Gonalons,fr FRA,MF,fr Lyon,27,1989,5.4,,17,,,,,,,,,,,17,,,,Matches
232,Gökhan Gönül,tr TUR,DF,tr Beşiktaş,31,1985,1.0,,1,,,,,,,,,,,2,,,,Matches
233,Derlis González,py PAR,FW,ua Dynamo Kyiv,22,1994,3.6,,,,,,,,,,,,,,,,,Matches
234,Craig Gordon,sct SCO,GK,sct Celtic,33,1982,5.0,,0,,,,,,,,,,,0,,,,Matches
235,Astemir Gordyushenko,ru RUS,MF,ru CSKA Moscow,19,1997,0.4,,2,,,,,,,,,,,1,,,,Matches
236,Mario Götze,de GER,"FW,MF",de Dortmund,24,1992,3.2,,6,,,,,,,,,,,5,,,,Matches
237,Vladimir Granat,ru RUS,DF,ru Rostov,29,1987,6.0,,5,,,,,,,,,,,16,,,,Matches
238,Demarai Gray,jm JAM,"FW,MF",eng Leicester City,20,1996,1.7,,3,,,,,,,,,,,2,,,,Matches
239,Ján Greguš,sk SVK,MF,dk FC Copenhagen,25,1991,1.3,,2,,,,,,,,,,,3,,,,Matches
240,Clément Grenier,fr FRA,MF,fr Lyon,25,1991,0.1,,0,,,,,,,,,,,0,,,,Matches
241,Antoine Griezmann,fr FRA,"FW,MF",es Atlético Madrid,25,1991,11.9,,13,,,,,,,,,,,9,,,,Matches
242,Leigh Griffiths,sct SCO,FW,sct Celtic,25,1990,0.5,,0,,,,,,,,,,,2,,,,Matches
243,Maksim Grigoryev,ru RUS,MF,ru Rostov,26,1990,0.1,,0,,,,,,,,,,,0,,,,Matches
244,Álex Grimaldo,es ESP,"DF,MF",pt Benfica,20,1995,4.0,,11,,,,,,,,,,,7,,,,Matches
245,Andrés Guardado,mx MEX,"DF,FW",nl PSV Eindhoven,29,1986,3.7,,7,,,,,,,,,,,9,,,,Matches
246,Gonçalo Guedes,pt POR,"FW,MF",pt Benfica,19,1996,4.7,,7,,,,,,,,,,,5,,,,Matches
247,Raphaël Guerreiro,pt POR,"DF,MF",de Dortmund,22,1993,5.6,,6,,,,,,,,,,,5,,,,Matches
248,Guilherme,br BRA,"FW,MF",pl Legia Warsaw,25,1991,5.1,,5,,,,,,,,,,,12,,,,Matches
249,İlkay Gündoğan,de GER,MF,eng Manchester City,25,1990,5.8,,6,,,,,,,,,,,11,,,,Matches
250,André Hahn,de GER,"FW,MF",de Gladbach,25,1990,3.8,,3,,,,,,,,,,,2,,,,Matches
251,Kasper Hämäläinen,fi FIN,"FW,MF",pl Legia Warsaw,29,1986,0.0,,1,,,,,,,,,,,1,,,,Matches
252,Ben Hamer,eng ENG,GK,eng Leicester City,28,1987,1.0,,0,,,,,,,,,,,0,,,,Matches
253,Marek Hamšík,sk SVK,MF,it Napoli,29,1987,7.2,,7,,,,,,,,,,,5,,,,Matches
254,Denys Harmash,ua UKR,"FW,MF",ua Dynamo Kyiv,26,1990,3.0,,2,,,,,,,,,,,1,,,,Matches
255,Kai Havertz,de GER,"FW,MF",de Leverkusen,17,1999,0.9,,0,,,,,,,,,,,0,,,,Matches
256,Thorgan Hazard,be BEL,"FW,MF",de Gladbach,23,1993,2.8,,12,,,,,,,,,,,5,,,,Matches
257,Liam Henderson,sct SCO,MF,sct Celtic,20,1996,0.1,,0,,,,,,,,,,,0,,,,Matches
258,Jorrit Hendrix,nl NED,"DF,MF",nl PSV Eindhoven,21,1995,1.4,,3,,,,,,,,,,,3,,,,Matches
259,Benjamin Henrichs,de GER,"DF,MF",de Leverkusen,19,1997,6.2,,24,,,,,,,,,,,24,,,,Matches
260,Ángelo Henríquez,cl CHI,FW,hr Dinamo Zagreb,22,1994,0.9,,2,,,,,,,,,,,0,,,,Matches
261,Javier Hernández,mx MEX,FW,de Leverkusen,28,1988,7.3,,3,,,,,,,,,,,5,,,,Matches
262,Lucas Hernández,fr FRA,DF,es Atlético Madrid,20,1996,3.4,,11,,,,,,,,,,,10,,,,Matches
263,Luis Hernández,es ESP,DF,eng Leicester City,27,1989,4.0,,4,,,,,,,,,,,10,,,,Matches
264,Hernanes,br BRA,MF,it Juventus,31,1985,1.1,,0,,,,,,,,,,,6,,,,Matches
265,Héctor Herrera,mx MEX,MF,pt Porto,26,1990,3.6,,2,,,,,,,,,,,7,,,,Matches
266,Patrick Herrmann,de GER,"FW,MF",de Gladbach,25,1991,0.3,,1,,,,,,,,,,,2,,,,Matches
267,Son Heung-min,kr KOR,"FW,MF",eng Tottenham,24,1992,4.7,,4,,,,,,,,,,,1,,,,Matches
268,Gonzalo Higuaín,ar ARG,"FW,MF",it Juventus,28,1987,11.5,,6,,,,,,,,,,,3,,,,Matches
269,Roberto Hilbert,de GER,"DF,MF",de Leverkusen,31,1984,1.0,,2,,,,,,,,,,,3,,,,Matches
270,Oleksandr Hladkyy,ua UKR,FW,ua Dynamo Kyiv,28,1987,0.3,,0,,,,,,,,,,,0,,,,Matches
271,Adam Hloušek,cz CZE,"DF,FW",pl Legia Warsaw,27,1988,4.0,,6,,,,,,,,,,,11,,,,Matches
272,Armin Hodžić,ba BIH,FW,hr Dinamo Zagreb,21,1994,0.4,,0,,,,,,,,,,,1,,,,Matches
273,Jonas Hofmann,de GER,"FW,MF",de Gladbach,24,1992,1.5,,1,,,,,,,,,,,0,,,,Matches
274,Rob Holding,eng ENG,DF,eng Arsenal,20,1995,1.0,,1,,,,,,,,,,,3,,,,Matches
275,André Horta,pt POR,MF,pt Benfica,19,1996,1.6,,1,,,,,,,,,,,1,,,,Matches
276,Artem Hromov,ua UKR,"FW,MF",ua Dynamo Kyiv,26,1990,0.0,,0,,,,,,,,,,,0,,,,Matches
277,Mats Hummels,de GER,DF,de Bayern Munich,27,1988,7.6,,8,,,,,,,,,,,13,,,,Matches
278,Oleh Husyev,ua UKR,"DF,MF",ua Dynamo Kyiv,33,1983,0.2,,0,,,,,,,,,,,0,,,,Matches
279,Atiba Hutchinson,ca CAN,"DF,MF",tr Beşiktaş,33,1983,6.0,,6,,,,,,,,,,,14,,,,Matches
280,Robert Huth,de GER,DF,eng Leicester City,31,1984,8.0,,0,,,,,,,,,,,13,,,,Matches
281,Elseid Hysaj,al ALB,DF,it Napoli,22,1994,7.0,,8,,,,,,,,,,,11,,,,Matches
282,Tom Høgli,no NOR,DF,dk FC Copenhagen,32,1984,0.0,,0,,,,,,,,,,,0,,,,Matches
283,Vicente Iborra,es ESP,MF,es Sevilla,28,1988,4.7,,8,,,,,,,,,,,9,,,,Matches
