Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
205,Fernandinho,br BRA,"MF,DF",eng Manchester City,36,1985,3.9,330,7,44,235,56,7,330,2,2,100.0,0,0.0,246,1220,777,7,14,0,5,0,256,7,Matches
206,Fernando,br BRA,MF,es Sevilla,34,1987,6.0,355,16,142,193,24,5,355,10,9,90.0,1,10.0,186,705,378,3,3,0,9,4,207,5,Matches
207,Fernando,br BRA,FW,ua Shakhtar,22,1999,3.8,124,1,7,40,80,20,124,16,7,43.8,9,56.3,81,523,272,10,10,4,11,3,86,25,Matches
208,Roberto Firmino,br BRA,FW,eng Liverpool,29,1991,3.6,237,2,14,116,110,24,237,10,4,40.0,6,60.0,123,639,269,9,8,1,16,8,174,31,Matches
209,Alessandro Florenzi,it ITA,"DF,FW",it Milan,30,1991,1.0,53,8,19,22,12,2,53,0,0,,0,,20,80,48,0,1,1,1,0,28,2,Matches
210,Phil Foden,eng ENG,FW,eng Manchester City,21,2000,7.3,385,2,17,141,232,43,385,15,6,40.0,9,60.0,300,1366,618,25,11,7,17,10,325,79,Matches
211,José Fonte,pt POR,DF,fr Lille,37,1983,8.0,444,53,208,217,23,5,444,0,0,,0,,207,1001,592,4,3,0,1,0,258,0,Matches
212,Emil Forsberg,se SWE,"MF,FW",de RB Leipzig,29,1991,4.3,203,2,13,92,99,14,202,3,2,66.7,1,33.3,100,635,340,10,6,3,8,3,145,16,Matches
213,Juan Foyth,ar ARG,DF,es Villarreal,23,1998,9.9,573,39,233,285,66,4,573,16,10,62.5,6,37.5,259,1497,877,14,9,0,15,9,266,5,Matches
214,Lassina Franck Traoré,bf BFA,FW,ua Shakhtar,20,2001,1.1,27,1,1,7,19,7,27,0,0,,0,,12,26,3,0,0,1,3,1,22,7,Matches
