Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
115,Tim Krul,nl NED,GK,Newcastle Utd,eng Premier League,27,1988,8.0,17,,,,,,,,,,,,,,,,,,,,,,,,,Matches
116,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,16,1999,23.8,27,,,,,,,,,,,,,,,,,,,,,,,,,Matches
117,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,25,1989,13.0,18,,,,,,,,,,,,,,,,,,,,,,,,,Matches
118,Mitchell Langerak,au AUS,GK,Stuttgart,de Bundesliga,26,1988,2.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
119,Nicola Leali,it ITA,GK,Frosinone,it Serie A,22,1993,33.0,59,,,,,,,,,,,,,,,,,,,,,,,,,Matches
120,Jean-Louis Leca,fr FRA,GK,Bastia,fr Ligue 1,29,1985,33.2,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
121,Benjamin Lecomte,fr FRA,GK,Lorient,fr Ligue 1,24,1991,36.0,53,,,,,,,,,,,,,,,,,,,,,,,,,Matches
122,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,23,1992,33.0,38,,,,,,,,,,,,,,,,,,,,,,,,,Matches
123,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,24,1990,17.0,23,,,,,,,,,,,,,,,,,,,,,,,,,Matches
124,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,20,1995,1.2,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
125,Jonathan Ligali,fr FRA,GK,Montpellier,fr Ligue 1,24,1991,6.0,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
126,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,24,1991,7.9,13,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
127,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,28,1986,37.0,34,,,,,,,,,,,,,,,,,,,,,,,,,Matches
128,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,24,1990,37.0,43,,,,,,,,,,,,,,,,,,,,,,,,,Matches
129,Diego López,es ESP,GK,Milan,it Serie A,33,1981,8.0,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
130,Pau López,es ESP,GK,Espanyol,es La Liga,20,1994,35.5,62,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
131,Jonas Lössl,dk DEN,GK,Guingamp,fr Ligue 1,26,1989,37.0,55,,,,,,,,,,,,,,,,,,,,,,,,,Matches
132,Germán Lux,ar ARG,GK,La Coruña,es La Liga,33,1982,28.4,38,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
133,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,20,1995,3.2,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
134,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,30,1985,36.0,40,,,,,,,,,,,,,,,,,,,,,,,,,Matches
135,Alex Manninger,at AUT,GK,Augsburg,de Bundesliga,38,1977,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
