Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1478,Benjamin Lecomte,fr FRA,GK,Lorient,fr Ligue 1,24,1991,36.0,,,,,,,,,,,,,,,0,,,,,,Matches
1479,Joe Ledley,wls WAL,MF,Crystal Palace,eng Premier League,28,1987,10.9,,,,,,,,,,,,,,,0,,,,,,Matches
1480,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,32,1983,30.8,,,,,,,,,,,,,,,2,,,,,,Matches
1481,Moritz Leitner,de GER,MF,Dortmund,de Bundesliga,22,1992,3.6,,,,,,,,,,,,,,,1,,,,,,Matches
1482,Lucas Leiva,br BRA,MF,Liverpool,eng Premier League,28,1987,21.7,,,,,,,,,,,,,,,1,,,,,,Matches
1483,Jonathan Leko,eng ENG,"FW,MF",West Brom,eng Premier League,16,1999,3.0,,,,,,,,,,,,,,,1,,,,,,Matches
1484,Iñigo Lekue,es ESP,"DF,MF",Athletic Club,es La Liga,22,1993,12.9,,,,,,,,,,,,,,,0,,,,,,Matches
1485,Reynald Lemaître,fr FRA,"DF,MF",Guingamp,fr Ligue 1,32,1983,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
1486,Thomas Lemar,fr FRA,MF,Monaco,fr Ligue 1,19,1995,20.1,,,,,,,,,,,,,,,3,,,,,,Matches
1487,Mario Lemina,ga GAB,"DF,MF",Juventus,it Serie A,21,1993,8.1,,,,,,,,,,,,,,,0,,,,,,Matches
1488,Mario Lemina,ga GAB,"DF,MF",Marseille,fr Ligue 1,21,1993,3.7,,,,,,,,,,,,,,,0,,,,,,Matches
1489,Jérôme Lemoigne,fr FRA,"FW,MF",Gazélec Ajaccio,fr Ligue 1,32,1983,27.3,,,,,,,,,,,,,,,1,,,,,,Matches
1490,Fabien Lemoine,fr FRA,MF,Saint-Étienne,fr Ligue 1,28,1987,27.2,,,,,,,,,,,,,,,1,,,,,,Matches
1491,Mauricio Lemos,uy URU,DF,Las Palmas,es La Liga,19,1995,8.2,,,,,,,,,,,,,,,0,,,,,,Matches
1492,Ermir Lenjani,al ALB,"DF,FW",Rennes,fr Ligue 1,25,1989,0.9,,,,,,,,,,,,,,,1,,,,,,Matches
1493,Ermir Lenjani,al ALB,"DF,FW",Nantes,fr Ligue 1,25,1989,15.5,,,,,,,,,,,,,,,1,,,,,,Matches
1494,Aaron Lennon,eng ENG,"FW,MF",Everton,eng Premier League,28,1987,17.1,,,,,,,,,,,,,,,0,,,,,,Matches
1495,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,23,1992,33.0,,,,,,,,,,,,,,,0,,,,,,Matches
1496,Jeremain Lens,nl NED,"FW,MF",Sunderland,eng Premier League,27,1987,14.4,,,,,,,,,,,,,,,3,,,,,,Matches
1497,Pedro León,es ESP,"FW,MF",Getafe,es La Liga,28,1986,20.5,,,,,,,,,,,,,,,4,,,,,,Matches
1498,Jefferson Lerma,co COL,MF,Levante,es La Liga,20,1994,29.8,,,,,,,,,,,,,,,2,,,,,,Matches
1499,Joleon Lescott,eng ENG,DF,West Brom,eng Premier League,32,1982,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
1500,Joleon Lescott,eng ENG,DF,Aston Villa,eng Premier League,32,1982,29.2,,,,,,,,,,,,,,,0,,,,,,Matches
1501,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,24,1990,17.0,,,,,,,,,,,,,,,0,,,,,,Matches
1502,Gaetano Letizia,it ITA,"DF,MF",Carpi,it Serie A,25,1990,32.1,,,,,,,,,,,,,,,0,,,,,,Matches
1503,Tobias Levels,de GER,DF,Ingolstadt 04,de Bundesliga,28,1986,16.0,,,,,,,,,,,,,,,2,,,,,,Matches
1504,Dorian Lévêque,fr FRA,DF,Guingamp,fr Ligue 1,25,1989,13.4,,,,,,,,,,,,,,,0,,,,,,Matches
1505,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,26,1988,29.5,,,,,,,,,,,,,,,2,,,,,,Matches
1506,Stefan Lex,de GER,"FW,MF",Ingolstadt 04,de Bundesliga,25,1989,9.8,,,,,,,,,,,,,,,0,,,,,,Matches
1507,Dario Lezcano,py PAR,"FW,MF",Ingolstadt 04,de Bundesliga,25,1990,13.7,,,,,,,,,,,,,,,1,,,,,,Matches
1508,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,20,1995,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
