Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
2351,Pirmin Schwegler,ch SUI,MF,Hoffenheim,de Bundesliga,28,1987,21,16,1415,15.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
2352,Bastian Schweinsteiger,de GER,"DF,MF",Manchester Utd,eng Premier League,30,1984,18,13,1202,13.4,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
2353,Andrea Seculin,it ITA,GK,Chievo,it Serie A,25,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2354,Haris Seferović,ch SUI,FW,Eint Frankfurt,de Bundesliga,23,1992,29,25,2208,24.5,3,5,8,2,1,1,10,0,0.12,0.20,0.33,0.08,0.29,Matches
2355,Paul Seguin,de GER,"DF,MF",Wolfsburg,de Bundesliga,20,1995,4,2,178,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2356,Ole Selnæs,no NOR,MF,Saint-Étienne,fr Ligue 1,21,1994,3,2,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2357,Josep Señé,es ESP,MF,Celta Vigo,es La Liga,23,1991,8,4,385,4.3,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches
2358,Suat Serdar,de GER,MF,Mainz 05,de Bundesliga,18,1997,12,2,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2359,Jean Seri,ci CIV,MF,Nice,fr Ligue 1,24,1991,38,35,3103,34.5,3,6,9,3,0,0,2,0,0.09,0.17,0.26,0.09,0.26,Matches
2360,Mathias Serin,fr FRA,MF,Angers,fr Ligue 1,23,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2361,Grégory Sertic,fr FRA,MF,Bordeaux,fr Ligue 1,25,1989,1,1,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2362,Stéphane Sessègnon,bj BEN,"FW,MF",West Brom,eng Premier League,31,1984,25,21,1752,19.5,2,2,4,2,0,0,1,0,0.10,0.10,0.21,0.10,0.21,Matches
2363,Nicolas Seube,fr FRA,"DF,MF",Caen,fr Ligue 1,35,1979,33,24,2172,24.1,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches
2364,Salva Sevilla,es ESP,MF,Espanyol,es La Liga,31,1984,15,5,533,5.9,1,0,1,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,Matches
2365,Stephan El Shaarawy,it ITA,"DF,FW",Roma,it Serie A,22,1992,16,15,1191,13.2,8,2,10,8,0,0,0,0,0.60,0.15,0.76,0.60,0.76,Matches
2366,Stephan El Shaarawy,it ITA,"DF,FW",Monaco,fr Ligue 1,22,1992,15,7,681,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2367,Xherdan Shaqiri,ch SUI,"FW,MF",Stoke City,eng Premier League,23,1991,27,27,2012,22.4,3,6,9,3,0,0,3,0,0.13,0.27,0.40,0.13,0.40,Matches
2368,Luke Shaw,eng ENG,"DF,MF",Manchester Utd,eng Premier League,20,1995,5,5,450,5.0,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
2369,Ryan Shawcross,eng ENG,DF,Stoke City,eng Premier League,27,1987,20,20,1695,18.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
2370,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,23,1992,15,11,1050,11.7,0,3,3,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26,Matches
2371,Jonjo Shelvey,eng ENG,MF,Swansea City,eng Premier League,23,1992,16,14,1216,13.5,1,2,3,0,1,1,5,0,0.07,0.15,0.22,0.00,0.15,Matches
2372,Djibril Sidibé,fr FRA,"DF,MF",Lille,fr Ligue 1,23,1992,37,36,3276,36.4,4,3,7,4,0,0,3,0,0.11,0.08,0.19,0.11,0.19,Matches
2373,Sidnei,br BRA,DF,La Coruña,es La Liga,25,1989,33,33,2895,32.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2374,Steve Sidwell,eng ENG,MF,Stoke City,eng Premier League,32,1982,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2375,Franco Signorelli,ve VEN,MF,Empoli,it Serie A,24,1991,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2376,Franck Signorino,fr FRA,DF,Reims,fr Ligue 1,33,1981,29,29,2559,28.4,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
2377,Gylfi Sigurðsson,is ISL,"FW,MF",Swansea City,eng Premier League,25,1989,36,32,2914,32.4,11,3,14,8,3,3,6,0,0.34,0.09,0.43,0.25,0.34,Matches
2378,Kolbeinn Sigþórsson,is ISL,FW,Nantes,fr Ligue 1,25,1990,26,19,1688,18.8,3,0,3,3,0,0,4,1,0.16,0.00,0.16,0.16,0.16,Matches
2379,Luca Siligardi,it ITA,"FW,MF",Hellas Verona,it Serie A,27,1988,28,17,1407,15.6,2,0,2,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
2380,Bernardo Silva,pt POR,"FW,MF",Monaco,fr Ligue 1,20,1994,32,22,2239,24.9,7,1,8,7,0,0,7,0,0.28,0.04,0.32,0.28,0.32,Matches
2381,David Silva,es ESP,"FW,MF",Manchester City,eng Premier League,29,1986,24,22,1791,19.9,2,11,13,2,0,0,1,0,0.10,0.55,0.65,0.10,0.65,Matches
2382,Gabriel Silva,br BRA,"DF,MF",Genoa,it Serie A,24,1991,11,8,769,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2383,Gabriel Silva,br BRA,"DF,MF",Carpi,it Serie A,24,1991,16,14,1282,14.2,0,2,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches
2384,Gastón Silva,uy URU,DF,Torino,it Serie A,21,1994,12,10,895,9.9,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
2385,Lucas Silva,br BRA,MF,Marseille,fr Ligue 1,22,1993,22,11,1038,11.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2386,Thiago Silva,br BRA,DF,Paris S-G,fr Ligue 1,30,1984,30,29,2622,29.1,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,Matches
2387,Eddy Silvestre,az AZE,MF,Eibar,es La Liga,22,1992,6,1,212,2.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2388,Matías Silvestre,ar ARG,DF,Sampdoria,it Serie A,30,1984,25,21,1975,21.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
2389,David Simón,es ESP,DF,Las Palmas,es La Liga,26,1988,27,24,2263,25.1,1,2,3,1,0,0,7,0,0.04,0.08,0.12,0.04,0.12,Matches
2390,Danny Simpson,eng ENG,DF,Leicester City,eng Premier League,28,1987,30,30,2609,29.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
2391,Scott Sinclair,eng ENG,"FW,MF",Aston Villa,eng Premier League,26,1989,27,19,1595,17.7,2,0,2,1,1,1,0,0,0.11,0.00,0.11,0.06,0.06,Matches
2392,Giovanni Sio,ci CIV,"FW,MF",Rennes,fr Ligue 1,26,1989,34,28,2599,28.9,7,7,14,7,0,1,12,2,0.24,0.24,0.48,0.24,0.48,Matches
2393,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,27,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2394,Guilherme Siqueira,br BRA,"DF,MF",Atlético Madrid,es La Liga,29,1986,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2395,Guilherme Siqueira,br BRA,"DF,MF",Valencia,es La Liga,29,1986,14,14,1093,12.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2396,Pantxi Sirieix,fr FRA,MF,Toulouse,fr Ligue 1,34,1980,5,0,73,0.8,0,2,2,0,0,0,1,0,0.00,2.47,2.47,0.00,2.47,Matches
2397,Salvatore Sirigu,it ITA,GK,Paris S-G,fr Ligue 1,28,1987,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2398,Sandro Sirigu,de GER,DF,Darmstadt 98,de Bundesliga,26,1988,6,1,124,1.4,0,2,2,0,0,0,0,0,0.00,1.45,1.45,0.00,1.45,Matches
2399,Maicon Sisenando,br BRA,DF,Roma,it Serie A,34,1981,15,12,1007,11.2,1,2,3,1,0,0,2,1,0.09,0.18,0.27,0.09,0.27,Matches
2400,Moussa Sissoko,fr FRA,"FW,MF",Newcastle Utd,eng Premier League,25,1989,37,37,3217,35.7,1,7,8,1,0,0,3,0,0.03,0.20,0.22,0.03,0.22,Matches
2401,Slimane Sissoko,fr FRA,FW,Angers,fr Ligue 1,24,1991,12,2,316,3.5,0,1,1,0,0,0,1,1,0.00,0.28,0.28,0.00,0.28,Matches
2402,Sito,es ESP,MF,Valencia,es La Liga,18,1996,1,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2403,Ellyes Skhiri,tn TUN,MF,Montpellier,fr Ligue 1,20,1995,12,9,815,9.1,2,0,2,2,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches
2404,Łukasz Skorupski,pl POL,GK,Empoli,it Serie A,24,1991,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2405,Milan Škriniar,sk SVK,"DF,MF",Sampdoria,it Serie A,20,1995,3,2,105,1.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
2406,Martin Škrtel,sk SVK,DF,Liverpool,eng Premier League,30,1984,22,21,1885,20.9,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
2407,Chris Smalling,eng ENG,DF,Manchester Utd,eng Premier League,25,1989,35,35,3150,35.0,0,1,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,Matches
2408,Adam Smith,eng ENG,"DF,MF",Bournemouth,eng Premier League,24,1991,31,22,2100,23.3,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches
2409,Brad Smith,au AUS,"DF,MF",Liverpool,eng Premier League,21,1994,4,3,286,3.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
2410,Cédric Soares,pt POR,"DF,MF",Southampton,eng Premier League,23,1991,24,23,1965,21.8,0,2,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
2411,Danilo Soares,br BRA,"DF,MF",Ingolstadt 04,de Bundesliga,23,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2412,Artur Sobiech,pl POL,FW,Hannover 96,de Bundesliga,25,1990,25,19,1629,18.1,7,0,7,7,0,0,3,0,0.39,0.00,0.39,0.39,0.39,Matches
2413,Danilo Soddimo,it ITA,MF,Frosinone,it Serie A,27,1987,28,20,1793,19.9,1,2,3,1,0,0,11,1,0.05,0.10,0.15,0.05,0.15,Matches
2414,Enrique Sola,es ESP,FW,Athletic Club,es La Liga,29,1986,5,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2415,Roberto Soldado,es ESP,FW,Villarreal,es La Liga,30,1985,28,27,2246,25.0,5,10,15,5,0,0,12,0,0.20,0.40,0.60,0.20,0.60,Matches
2416,Somália,br BRA,"DF,FW",Toulouse,fr Ligue 1,26,1988,29,24,2119,23.5,0,2,2,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
2417,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,26,1988,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2418,Alexandre Song,cm CMR,"DF,MF",West Ham,eng Premier League,27,1987,12,8,658,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2419,Kévin Soni,cm CMR,MF,Bordeaux,fr Ligue 1,17,1998,2,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2420,Jérémy Sorbon,fr FRA,DF,Guingamp,fr Ligue 1,31,1983,34,34,3029,33.7,2,0,2,2,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
2421,Oliver Sorg,de GER,DF,Hannover 96,de Bundesliga,25,1990,20,19,1591,17.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
2422,Bruno Soriano,es ESP,MF,Villarreal,es La Liga,31,1984,31,28,2596,28.8,5,1,6,2,3,3,5,1,0.17,0.03,0.21,0.07,0.10,Matches
2423,Roberto Soriano,it ITA,MF,Sampdoria,it Serie A,24,1991,37,33,2816,31.3,8,4,12,8,0,0,7,0,0.26,0.13,0.38,0.26,0.38,Matches
2424,Stefano Sorrentino,it ITA,GK,Palermo,it Serie A,36,1979,35,35,3096,34.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2425,Elkin Soto,co COL,MF,Mainz 05,de Bundesliga,34,1980,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2426,Florian Sotoca,fr FRA,"FW,MF",Montpellier,fr Ligue 1,24,1990,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2427,Pape Souaré,sn SEN,DF,Crystal Palace,eng Premier League,25,1990,34,34,3015,33.5,0,1,1,0,0,0,6,1,0.00,0.03,0.03,0.00,0.03,Matches
2428,Adama Soumaoro,fr FRA,DF,Lille,fr Ligue 1,23,1992,28,25,2322,25.8,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
2429,Samuel Souprayen,fr FRA,DF,Hellas Verona,it Serie A,26,1989,20,18,1584,17.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
2430,Emir Spahić,ba BIH,DF,Hamburger SV,de Bundesliga,34,1980,26,26,2267,25.2,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches
2431,Uroš Spajić,rs SRB,DF,Toulouse,fr Ligue 1,22,1993,14,11,1091,12.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
2432,Stéphane Sparagna,fr FRA,DF,Marseille,fr Ligue 1,20,1995,7,2,234,2.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2433,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,36,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2434,Nicolás Spolli,ar ARG,DF,Carpi,it Serie A,32,1983,4,4,325,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2435,Nicolás Spolli,ar ARG,DF,Chievo,it Serie A,32,1983,10,8,770,8.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
2436,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,23,1992,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2437,Sébastien Squillaci,fr FRA,DF,Bastia,fr Ligue 1,34,1980,31,29,2667,29.6,2,2,4,2,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches
2438,Kostas Stafylidis,gr GRE,"DF,MF",Augsburg,de Bundesliga,21,1993,11,8,687,7.6,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches
2439,Benjamin Stambouli,fr FRA,"DF,MF",Paris S-G,fr Ligue 1,24,1990,27,18,1500,16.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2440,Junior Stanislas,eng ENG,"FW,MF",Bournemouth,eng Premier League,25,1989,21,17,1435,15.9,3,2,5,3,0,0,1,0,0.19,0.13,0.31,0.19,0.31,Matches
2441,Niklas Stark,de GER,"DF,MF",Hertha BSC,de Bundesliga,20,1995,21,15,1413,15.7,2,0,2,2,0,0,4,1,0.13,0.00,0.13,0.13,0.13,Matches
2442,Maarten Stekelenburg,nl NED,GK,Southampton,eng Premier League,32,1982,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2443,Guglielmo Stendardo,it ITA,DF,Atalanta,it Serie A,34,1981,15,12,1112,12.4,1,0,1,1,0,0,5,1,0.08,0.00,0.08,0.08,0.08,Matches
2444,Marc Stendera,de GER,MF,Eint Frankfurt,de Bundesliga,19,1995,26,24,2043,22.7,2,1,3,2,0,0,9,0,0.09,0.04,0.13,0.09,0.13,Matches
2445,Raheem Sterling,eng ENG,"FW,MF",Manchester City,eng Premier League,20,1994,31,23,1920,21.3,6,2,8,6,0,0,1,0,0.28,0.09,0.37,0.28,0.37,Matches
2446,Janek Sternberg,de GER,"DF,MF",Werder Bremen,de Bundesliga,22,1992,9,4,447,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2447,Jamie Sterry,eng ENG,"DF,MF",Newcastle Utd,eng Premier League,19,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2448,Kevin Stewart,jm JAM,"DF,MF",Liverpool,eng Premier League,21,1993,7,6,565,6.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2449,Zoltán Stieber,hu HUN,"FW,MF",Hamburger SV,de Bundesliga,26,1988,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2450,Lars Stindl,de GER,"FW,MF",Gladbach,de Bundesliga,26,1988,30,29,2593,28.8,7,8,15,6,1,2,5,0,0.24,0.28,0.52,0.21,0.49,Matches
2451,Valentin Stocker,ch SUI,MF,Hertha BSC,de Bundesliga,26,1989,22,10,836,9.3,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
2452,John Stones,eng ENG,DF,Everton,eng Premier League,21,1994,33,31,2779,30.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2453,Martin Stranzl,at AUT,"DF,MF",Gladbach,de Bundesliga,35,1980,4,2,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2454,Ivan Strinić,hr CRO,DF,Napoli,it Serie A,28,1987,5,3,253,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2455,Tobias Strobl,de GER,"DF,MF",Hoffenheim,de Bundesliga,25,1990,26,22,2078,23.1,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
2456,Dominik Stroh-Engel,de GER,FW,Darmstadt 98,de Bundesliga,29,1985,15,6,512,5.7,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches
2457,Kevin Strootman,nl NED,MF,Roma,it Serie A,25,1990,5,2,190,2.1,0,1,1,0,0,0,1,0,0.00,0.47,0.47,0.00,0.47,Matches
2458,Aljaž Struna,si SVN,"DF,MF",Palermo,it Serie A,24,1990,22,22,1836,20.4,1,0,1,1,0,0,12,1,0.05,0.00,0.05,0.05,0.05,Matches
2459,Stefano Sturaro,it ITA,MF,Juventus,it Serie A,22,1993,19,11,1026,11.4,1,0,1,1,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches
2460,Daniel Sturridge,eng ENG,"FW,MF",Liverpool,eng Premier League,25,1989,14,11,978,10.9,8,1,9,8,0,0,0,0,0.74,0.09,0.83,0.74,0.83,Matches
2461,Emanuele Suagher,it ITA,DF,Carpi,it Serie A,22,1992,9,8,721,8.0,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
2462,Damián Suárez,uy URU,"DF,MF",Getafe,es La Liga,27,1988,31,30,2633,29.3,0,3,3,0,0,0,7,1,0.00,0.10,0.10,0.00,0.10,Matches
2463,Denis Suárez,es ESP,MF,Villarreal,es La Liga,21,1994,33,25,2373,26.4,4,4,8,4,0,0,3,0,0.15,0.15,0.30,0.15,0.30,Matches
2464,Luis Suárez,uy URU,FW,Barcelona,es La Liga,28,1987,35,35,3150,35.0,40,17,57,37,3,5,7,0,1.14,0.49,1.63,1.06,1.54,Matches
2465,Mario Suárez,es ESP,MF,Watford,eng Premier League,28,1987,15,8,749,8.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2466,Mario Suárez,es ESP,MF,Fiorentina,it Serie A,28,1987,9,5,456,5.1,1,0,1,1,0,0,3,0,0.20,0.00,0.20,0.20,0.20,Matches
2467,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,30,1984,36,36,3240,36.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2468,Neven Subotić,rs SRB,DF,Dortmund,de Bundesliga,26,1988,6,5,464,5.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2469,Isaac Success,ng NGA,"FW,MF",Granada,es La Liga,19,1996,30,28,2422,26.9,6,3,9,6,0,0,12,1,0.22,0.11,0.33,0.22,0.33,Matches
2470,Niklas Süle,de GER,DF,Hoffenheim,de Bundesliga,19,1995,33,33,2970,33.0,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches
2471,Valmir Sulejmani,xk KVX,"FW,MF",Hannover 96,de Bundesliga,19,1996,4,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2472,Aytaç Sulu,,DF,Darmstadt 98,de Bundesliga,29,1985,33,33,2970,33.0,7,0,7,7,0,0,6,0,0.21,0.00,0.21,0.21,0.21,Matches
2473,Ki Sung-yueng,kr KOR,MF,Swansea City,eng Premier League,26,1989,28,21,1850,20.6,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15,Matches
2474,Toni Šunjić,ba BIH,DF,Stuttgart,de Bundesliga,26,1988,19,17,1358,15.1,1,0,1,1,0,0,7,1,0.07,0.00,0.07,0.07,0.07,Matches
2475,Gilles Sunu,tg TOG,"FW,MF",Angers,fr Ligue 1,24,1991,32,32,2422,26.9,2,1,3,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,Matches
2476,Stoppila Sunzu,zm ZAM,"DF,MF",Lille,fr Ligue 1,26,1989,12,10,919,10.2,1,0,1,1,0,0,2,1,0.10,0.00,0.10,0.10,0.10,Matches
2477,Andrew Surman,eng ENG,MF,Bournemouth,eng Premier League,28,1986,38,38,3420,38.0,0,3,3,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches
2478,Markel Susaeta,es ESP,"FW,MF",Athletic Club,es La Liga,27,1987,28,22,1918,21.3,3,7,10,3,0,0,3,0,0.14,0.33,0.47,0.14,0.47,Matches
2479,Suso,es ESP,"FW,MF",Genoa,it Serie A,21,1993,19,15,1166,13.0,6,1,7,6,0,0,4,0,0.46,0.08,0.54,0.46,0.54,Matches
2480,Suso,es ESP,"FW,MF",Milan,it Serie A,21,1993,1,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2481,Markus Suttner,at AUT,"DF,GK",Ingolstadt 04,de Bundesliga,28,1987,18,15,1340,14.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2482,Dušan Švento,sk SVK,"DF,MF",Köln,de Bundesliga,29,1985,7,2,224,2.5,1,0,1,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches
2483,Issiaga Sylla,gn GUI,"DF,MF",Gazélec Ajaccio,fr Ligue 1,21,1994,34,29,2699,30.0,0,4,4,0,0,0,11,2,0.00,0.13,0.13,0.00,0.13,Matches
2484,Mamadou Sylla,sn SEN,FW,Espanyol,es La Liga,21,1994,14,2,339,3.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2485,Yacouba Sylla,ml MLI,MF,Rennes,fr Ligue 1,24,1990,20,18,1494,16.6,0,1,1,0,0,0,5,1,0.00,0.06,0.06,0.00,0.06,Matches
2486,Ádám Szalai,hu HUN,FW,Hoffenheim,de Bundesliga,27,1987,4,1,109,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2487,Ádám Szalai,hu HUN,FW,Hannover 96,de Bundesliga,27,1987,12,6,692,7.7,0,2,2,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches
2488,Wojciech Szczęsny,pl POL,GK,Roma,it Serie A,25,1990,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2489,Alexander Søderlund,no NOR,FW,Saint-Étienne,fr Ligue 1,27,1987,14,10,922,10.2,2,2,4,2,0,1,1,0,0.20,0.20,0.39,0.20,0.39,Matches
2490,Frederik Sørensen,dk DEN,DF,Köln,de Bundesliga,23,1992,22,19,1676,18.6,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
2491,Aaron Tabacchi,it ITA,FW,Bologna,it Serie A,17,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2492,Franck Tabanou,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,26,1989,11,8,694,7.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
2493,Mickaël Tacalfred,gp GLP,DF,Reims,fr Ligue 1,34,1981,15,14,1164,12.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2494,Panagiotis Tachtsidis,gr GRE,MF,Genoa,it Serie A,24,1991,24,7,837,9.3,2,2,4,2,0,0,3,0,0.22,0.22,0.43,0.22,0.43,Matches
2495,Dušan Tadić,rs SRB,"FW,MF",Southampton,eng Premier League,26,1988,34,27,2279,25.3,8,12,20,7,1,1,2,0,0.32,0.47,0.79,0.28,0.75,Matches
2496,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,19,1996,29,29,2565,28.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2497,Saphir Taïder,dz ALG,MF,Bologna,it Serie A,23,1992,29,25,2104,23.4,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches
2498,Junior Tallo,ci CIV,FW,Lille,fr Ligue 1,22,1992,23,12,1108,12.3,0,3,3,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches
2499,Tana,es ESP,"FW,MF",Las Palmas,es La Liga,24,1990,27,26,2113,23.5,5,4,9,5,0,0,2,0,0.21,0.17,0.38,0.21,0.38,Matches
2500,Oussama Tannane,ma MAR,"FW,MF",Saint-Étienne,fr Ligue 1,21,1994,10,7,602,6.7,2,1,3,2,0,0,2,0,0.30,0.15,0.45,0.30,0.45,Matches
2501,Matt Targett,eng ENG,"DF,MF",Southampton,eng Premier League,19,1995,14,13,1067,11.9,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
