Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
580,Jérôme Roussillon,fr FRA,DF,de Wolfsburg,28,1993,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
581,Antonio Rüdiger,de GER,DF,eng Chelsea,28,1993,9.3,13,1.44,10,0,2,0,1,0,2,0.22,1,0,0,0,1,0,Matches
582,Daniele Rugani,it ITA,DF,it Juventus,27,1994,2.0,3,1.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
583,Gerónimo Rulli,ar ARG,GK,es Villarreal,29,1992,12.0,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
584,Serdar Saatçı,tr TUR,DF,tr Beşiktaş,18,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
585,Marcel Sabitzer,at AUT,MF,de Bayern Munich,27,1994,1.5,7,4.63,6,1,0,0,0,0,1,0.66,1,0,0,0,0,0,Matches
586,Alexis Saelemaekers,be BEL,FW,it Milan,22,1999,4.9,9,1.82,6,0,2,0,1,0,1,0.20,1,0,0,0,0,0,Matches
587,Mohamed Salah,eg EGY,FW,eng Liverpool,29,1992,11.2,51,4.57,36,0,6,7,2,0,6,0.54,4,0,2,0,0,0,Matches
588,Renato Sanches,pt POR,"MF,FW",fr Lille,23,1997,4.5,10,2.23,7,1,2,0,0,0,1,0.22,1,0,0,0,0,0,Matches
589,Alexis Sánchez,cl CHI,FW,it Inter,32,1988,1.8,9,5.09,8,0,1,0,0,0,2,1.13,1,0,1,0,0,0,Matches
590,Jadon Sancho,eng ENG,FW,eng Manchester Utd,21,2000,4.4,7,1.61,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
591,Cisse Sandra,be BEL,FW,be Club Brugge,17,2003,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
592,Alex Sandro,br BRA,DF,it Juventus,30,1991,6.1,11,1.79,10,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
593,Leroy Sané,de GER,"FW,MF",de Bayern Munich,25,1996,8.8,41,4.64,30,1,5,3,2,0,7,0.79,5,0,1,1,0,0,Matches
594,Douglas Santos,br BRA,"DF,MF",ru Zenit,27,1994,4.9,18,3.66,17,1,0,0,0,0,2,0.41,2,0,0,0,0,0,Matches
595,Nuno Santos,pt POR,"MF,FW",pt Sporting CP,26,1995,2.4,8,3.27,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
