Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
15.0,Sat,2016-12-17,15:30 (16:30),Werder Bremen,1–1,Köln,42100.0,Weserstadion,Wolfgang Stark,Match Report,
15.0,Sat,2016-12-17,15:30 (16:30),Augsburg,1–0,Gladbach,28653.0,WWK Arena,Tobias Stieler,Match Report,
15.0,Sat,2016-12-17,15:30 (16:30),Schalke 04,1–1,Freiburg,60445.0,Veltins-Arena,Manuel Gräfe,Match Report,
15.0,Sat,2016-12-17,15:30 (16:30),RB Leipzig,2–0,Hertha BSC,42558.0,Red Bull Arena,Marco Fritz,Match Report,
15.0,Sat,2016-12-17,15:30 (16:30),Mainz 05,3–1,Hamburger SV,30179.0,Opel Arena,Deniz Aytekin,Match Report,
15.0,Sat,2016-12-17,18:30 (19:30),Wolfsburg,1–0,Eint Frankfurt,26967.0,Volkswagen Arena,Felix Brych,Match Report,
15.0,Sun,2016-12-18,15:30 (16:30),Darmstadt 98,0–1,Bayern Munich,17400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Bastian Dankert,Match Report,
15.0,Sun,2016-12-18,17:30 (18:30),Leverkusen,1–2,Ingolstadt 04,25075.0,BayArena,Frank Willenborg,Match Report,
,,,,,,,,,,,
16.0,Tue,2016-12-20,20:00 (21:00),Hamburger SV,2–1,Schalke 04,49789.0,Volksparkstadion,Jochen Drees,Match Report,
16.0,Tue,2016-12-20,20:00 (21:00),Gladbach,1–2,Wolfsburg,47067.0,Stadion im Borussia-Park,Robert Kampka,Match Report,
16.0,Tue,2016-12-20,20:00 (21:00),Dortmund,1–1,Augsburg,81360.0,Signal Iduna Park,Guido Winkmann,Match Report,
16.0,Tue,2016-12-20,20:00 (21:00),Eint Frankfurt,3–0,Mainz 05,48500.0,Commerzbank-Arena,Günter Perl,Match Report,
16.0,Wed,2016-12-21,20:00 (21:00),Hoffenheim,1–1,Werder Bremen,29076.0,Wirsol Rhein-Neckar-Arena,Benjamin Cortus,Match Report,
16.0,Wed,2016-12-21,20:00 (21:00),Köln,1–1,Leverkusen,50000.0,RheinEnergieSTADION,Manuel Gräfe,Match Report,
16.0,Wed,2016-12-21,20:00 (21:00),Hertha BSC,2–0,Darmstadt 98,31912.0,Olympiastadion Berlin,Robert Hartmann,Match Report,
16.0,Wed,2016-12-21,20:00 (21:00),Bayern Munich,3–0,RB Leipzig,75000.0,Allianz Arena,Felix Zwayer,Match Report,
16.0,Wed,2016-12-21,20:00 (21:00),Ingolstadt 04,1–2,Freiburg,13904.0,Audi-Sportpark,Sascha Stegemann,Match Report,
,,,,,,,,,,,
17.0,Fri,2017-01-20,20:30 (21:30),Freiburg,1–2,Bayern Munich,24000.0,Schwarzwald-Stadion,Manuel Gräfe,Match Report,
17.0,Sat,2017-01-21,15:30 (16:30),Wolfsburg,1–0,Hamburger SV,30000.0,Volkswagen Arena,Felix Zwayer,Match Report,
17.0,Sat,2017-01-21,15:30 (16:30),Darmstadt 98,0–0,Gladbach,17400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Marco Fritz,Match Report,
17.0,Sat,2017-01-21,15:30 (16:30),Augsburg,0–2,Hoffenheim,24515.0,WWK Arena,Markus Schmidt,Match Report,
17.0,Sat,2017-01-21,15:30 (16:30),Schalke 04,1–0,Ingolstadt 04,58004.0,Veltins-Arena,Harm Osmers,Match Report,
17.0,Sat,2017-01-21,15:30 (16:30),Werder Bremen,1–2,Dortmund,42100.0,Weserstadion,Daniel Siebert,Match Report,
17.0,Sat,2017-01-21,18:30 (19:30),RB Leipzig,3–0,Eint Frankfurt,42558.0,Red Bull Arena,Deniz Aytekin,Match Report,
17.0,Sun,2017-01-22,15:30 (16:30),Leverkusen,3–1,Hertha BSC,26904.0,BayArena,Tobias Stieler,Match Report,
17.0,Sun,2017-01-22,17:30 (18:30),Mainz 05,0–0,Köln,29314.0,Opel Arena,Felix Brych,Match Report,
,,,,,,,,,,,
18.0,Fri,2017-01-27,20:30 (21:30),Schalke 04,0–1,Eint Frankfurt,60885.0,Veltins-Arena,Robert Hartmann,Match Report,
18.0,Sat,2017-01-28,15:30 (16:30),Darmstadt 98,1–6,Köln,17400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Robert Kampka,Match Report,
18.0,Sat,2017-01-28,15:30 (16:30),Werder Bremen,1–2,Bayern Munich,42100.0,Weserstadion,Sascha Stegemann,Match Report,
18.0,Sat,2017-01-28,15:30 (16:30),RB Leipzig,2–1,Hoffenheim,39633.0,Red Bull Arena,Wolfgang Stark,Match Report,
18.0,Sat,2017-01-28,15:30 (16:30),Ingolstadt 04,3–1,Hamburger SV,14549.0,Audi-Sportpark,Markus Schmidt,Match Report,
18.0,Sat,2017-01-28,15:30 (16:30),Wolfsburg,1–2,Augsburg,24811.0,Volkswagen Arena,Bastian Dankert,Match Report,
18.0,Sat,2017-01-28,18:30 (19:30),Leverkusen,2–3,Gladbach,28869.0,BayArena,Deniz Aytekin,Match Report,
18.0,Sun,2017-01-29,15:30 (16:30),Freiburg,2–1,Hertha BSC,23800.0,Schwarzwald-Stadion,Günter Perl,Match Report,
18.0,Sun,2017-01-29,17:30 (18:30),Mainz 05,1–1,Dortmund,34000.0,Opel Arena,Felix Zwayer,Match Report,
,,,,,,,,,,,
19.0,Fri,2017-02-03,20:30 (21:30),Hamburger SV,1–0,Leverkusen,45653.0,Volksparkstadion,Jochen Drees,Match Report,
19.0,Sat,2017-02-04,15:30 (16:30),Bayern Munich,1–1,Schalke 04,75000.0,Allianz Arena,Marco Fritz,Match Report,
19.0,Sat,2017-02-04,15:30 (16:30),Hertha BSC,1–0,Ingolstadt 04,33425.0,Olympiastadion Berlin,Frank Willenborg,Match Report,
19.0,Sat,2017-02-04,15:30 (16:30),Hoffenheim,4–0,Mainz 05,26078.0,Wirsol Rhein-Neckar-Arena,Guido Winkmann,Match Report,
19.0,Sat,2017-02-04,15:30 (16:30),Köln,1–0,Wolfsburg,49400.0,RheinEnergieSTADION,Patrick Ittrich,Match Report,
19.0,Sat,2017-02-04,15:30 (16:30),Gladbach,3–0,Freiburg,47194.0,Stadion im Borussia-Park,Felix Brych,Match Report,
19.0,Sat,2017-02-04,18:30 (19:30),Dortmund,1–0,RB Leipzig,81360.0,Signal Iduna Park,Tobias Stieler,Match Report,
19.0,Sun,2017-02-05,15:30 (16:30),Augsburg,3–2,Werder Bremen,26812.0,WWK Arena,Christian Dingert,Match Report,
19.0,Sun,2017-02-05,17:30 (18:30),Eint Frankfurt,2–0,Darmstadt 98,51000.0,Commerzbank-Arena,Manuel Gräfe,Match Report,
,,,,,,,,,,,
20.0,Fri,2017-02-10,20:30 (21:30),Mainz 05,2–0,Augsburg,23371.0,Opel Arena,Manuel Gräfe,Match Report,
20.0,Sat,2017-02-11,15:30 (16:30),Leverkusen,3–0,Eint Frankfurt,28882.0,BayArena,Benjamin Cortus,Match Report,
20.0,Sat,2017-02-11,15:30 (16:30),Werder Bremen,0–1,Gladbach,42100.0,Weserstadion,Benjamin Brand,Match Report,
20.0,Sat,2017-02-11,15:30 (16:30),Ingolstadt 04,0–2,Bayern Munich,15200.0,Audi-Sportpark,Felix Zwayer,Match Report,
20.0,Sat,2017-02-11,15:30 (16:30),Darmstadt 98,2–1,Dortmund,17400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Wolfgang Stark,Match Report,
20.0,Sat,2017-02-11,15:30 (16:30),RB Leipzig,0–3,Hamburger SV,42558.0,Red Bull Arena,Sascha Stegemann,Match Report,
20.0,Sat,2017-02-11,18:30 (19:30),Schalke 04,2–0,Hertha BSC,61981.0,Veltins-Arena,Markus Schmidt,Match Report,
20.0,Sun,2017-02-12,15:30 (16:30),Wolfsburg,2–1,Hoffenheim,23148.0,Volkswagen Arena,Daniel Siebert,Match Report,
20.0,Sun,2017-02-12,17:30 (18:30),Freiburg,2–1,Köln,24000.0,Schwarzwald-Stadion,Robert Hartmann,Match Report,
,,,,,,,,,,,
21.0,Fri,2017-02-17,20:30 (21:30),Augsburg,1–3,Leverkusen,25010.0,WWK Arena,Harm Osmers,Match Report,
21.0,Sat,2017-02-18,15:30 (16:30),Hertha BSC,1–1,Bayern Munich,74667.0,Olympiastadion Berlin,Patrick Ittrich,Match Report,
21.0,Sat,2017-02-18,15:30 (16:30),Eint Frankfurt,0–2,Ingolstadt 04,46300.0,Commerzbank-Arena,Guido Winkmann,Match Report,
21.0,Sat,2017-02-18,15:30 (16:30),Mainz 05,0–2,Werder Bremen,27281.0,Opel Arena,Deniz Aytekin,Match Report,
21.0,Sat,2017-02-18,15:30 (16:30),Dortmund,3–0,Wolfsburg,56906.0,Signal Iduna Park,Günter Perl,Match Report,
21.0,Sat,2017-02-18,15:30 (16:30),Hoffenheim,2–0,Darmstadt 98,29013.0,Wirsol Rhein-Neckar-Arena,Felix Brych,Match Report,
21.0,Sat,2017-02-18,18:30 (19:30),Hamburger SV,2–2,Freiburg,49405.0,Volksparkstadion,Christian Dingert,Match Report,
21.0,Sun,2017-02-19,15:30 (16:30),Gladbach,1–2,RB Leipzig,51535.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,
21.0,Sun,2017-02-19,17:30 (18:30),Köln,1–1,Schalke 04,50000.0,RheinEnergieSTADION,Tobias Stieler,Match Report,
,,,,,,,,,,,
