Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
186,Łukasz Skorupski,pl POL,GK,Empoli,it Serie A,25,1991,35.0,56,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
187,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,27,1988,34.0,49,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
188,David Soria,es ESP,GK,Sevilla,es La Liga,23,1993,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
189,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,37,1979,34.0,52,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
190,Marco Sportiello,it ITA,GK,Fiorentina,it Serie A,24,1992,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
191,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,24,1992,8.0,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
192,Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,35,1981,3.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
193,Maarten Stekelenburg,nl NED,GK,Everton,eng Premier League,33,1982,18.7,24,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
194,Marco Storari,it ITA,GK,Cagliari,it Serie A,39,1977,14.0,36,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
195,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,21,1995,20.5,26,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
196,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,31,1984,36.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
197,Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,20,1995,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
198,Wojciech Szczęsny,pl POL,GK,Roma,it Serie A,26,1990,38.0,38,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
199,Ciprian Tătărușanu,ro ROU,GK,Fiorentina,it Serie A,30,1986,34.4,51,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
200,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,24,1992,36.0,33,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
201,Alexis Thébaux,fr FRA,GK,Bastia,fr Ligue 1,31,1985,1.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
202,Kevin Trapp,de GER,GK,Paris S-G,fr Ligue 1,26,1990,23.6,13,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
203,Przemysław Tytoń,pl POL,GK,La Coruña,es La Liga,29,1987,12.5,23,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
204,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,27,1988,5.0,4,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
205,Víctor Valdés,es ESP,GK,Middlesbrough,eng Premier League,34,1982,28.0,36,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
206,Javi Varas,es ESP,GK,Las Palmas,es La Liga,33,1982,25.0,47,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
207,Ivan Vargić,hr CRO,GK,Lazio,it Serie A,29,1987,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
208,Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,36,1980,33.8,55,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
209,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,19,1997,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
210,Thomas Vincensini,fr FRA,GK,Bastia,fr Ligue 1,22,1993,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
211,Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,30,1985,17.0,20,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
212,Michel Vorm,nl NED,GK,Tottenham,eng Premier League,32,1983,4.6,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
213,Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,35,1980,7.0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
214,Felix Wiedwald,de GER,GK,Werder Bremen,de Bundesliga,26,1990,24.5,49,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
215,Yoel,es ESP,GK,Eibar,es La Liga,27,1988,23.5,32,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
216,Ron-Robert Zieler,de GER,GK,Leicester City,eng Premier League,27,1989,8.4,16,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
