Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
143,Ben Davies,wls WAL,"DF,MF",eng Tottenham,23,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
144,Laurens De Bock,be BEL,DF,be Club Brugge,23,1992,3,3,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Kevin De Bruyne,be BEL,"FW,MF",eng Manchester City,25,1991,6,6,539,6.0,1,1,2,1,0,0,1,0,0.17,0.17,0.33,0.17,0.33,Matches
146,Morgan De Sanctis,it ITA,GK,fr Monaco,39,1977,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Thomas Delaney,dk DEN,MF,dk FC Copenhagen,24,1991,6,6,540,6.0,1,1,2,1,0,0,0,0,0.17,0.17,0.33,0.17,0.33,Matches
148,Mousa Dembélé,be BEL,MF,eng Tottenham,29,1987,4,2,164,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Moussa Dembélé,fr FRA,FW,sct Celtic,20,1996,6,6,523,5.8,3,0,3,2,1,2,0,0,0.52,0.00,0.52,0.34,0.34,Matches
150,Ousmane Dembélé,fr FRA,"FW,MF",de Dortmund,19,1997,10,9,770,8.6,2,6,8,2,0,0,1,0,0.23,0.70,0.94,0.23,0.94,Matches
151,Stefano Denswil,sr SUR,DF,be Club Brugge,23,1993,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
152,Laurent Depoitre,be BEL,FW,pt Porto,27,1988,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
153,Ángel Di María,ar ARG,"FW,MF",fr Paris S-G,28,1988,7,6,540,6.0,4,1,5,4,0,0,0,0,0.67,0.17,0.83,0.67,0.83,Matches
154,Abdoulay Diaby,ml MLI,"FW,MF",be Club Brugge,25,1991,2,2,108,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Mouctar Diakhaby,gn GUI,DF,fr Lyon,19,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
156,Abdou Diallo,sn SEN,DF,fr Monaco,20,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
157,Amadou Diawara,gn GUI,MF,it Napoli,19,1997,6,4,391,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
158,Serey Die,ci CIV,MF,ch Basel,31,1984,3,3,236,2.6,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches
159,Eric Dier,eng ENG,"DF,MF",eng Tottenham,22,1994,5,5,441,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
160,Lucas Digne,fr FRA,"DF,MF",es Barcelona,23,1993,4,2,284,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
161,Nabil Dirar,ma MAR,"DF,MF",fr Monaco,30,1986,7,3,234,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
162,Bas Dost,nl NED,FW,pt Sporting CP,27,1989,6,5,480,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
163,Moussa Doumbia,ml MLI,"FW,MF",ru Rostov,21,1994,4,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
164,Seydou Doumbia,ci CIV,FW,ch Basel,28,1987,6,4,342,3.8,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches
165,Aleksandar Dragović,at AUT,"DF,MF",de Leverkusen,25,1991,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
166,Julian Draxler,de GER,"FW,MF",fr Paris S-G,22,1993,2,2,161,1.8,1,0,1,1,0,0,1,0,0.56,0.00,0.56,0.56,0.56,Matches
167,Danny Drinkwater,eng ENG,MF,eng Leicester City,26,1990,10,10,886,9.8,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
168,Erik Durm,de GER,"DF,FW",de Dortmund,24,1992,4,3,235,2.6,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches
169,Svetoslav Dyakov,bg BUL,MF,bg Ludogorets,32,1984,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
