Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
334,Joshua Kimmich,de GER,MF,de Bayern Munich,27,1995,9.0,619,710,87.2,12057,3571,228,248,91.9,287,311,92.3,90,126,71.4,3,2.5,1.5,+0.5,20,91,10,1,82,Matches
335,Presnel Kimpembe,fr FRA,DF,fr Paris S-G,26,1995,1.6,98,103,95.1,1404,655,50,51,98.0,41,42,97.6,3,5,60.0,0,0.0,0.0,0.0,0,5,0,0,1,Matches
336,Leon King,sct SCO,DF,sct Rangers,18,2004,4.2,156,198,78.8,2932,1150,60,70,85.7,79,87,90.8,16,35,45.7,0,0.0,0.0,0.0,0,8,1,0,11,Matches
337,Simon Kjær,dk DEN,DF,it Milan,33,1989,5.6,237,276,85.9,4851,1737,72,77,93.5,124,134,92.5,36,57,63.2,0,0.2,0.0,-0.2,3,12,0,0,14,Matches
338,Maurits Kjærgaard,dk DEN,MF,at RB Salzburg,19,2003,5.5,96,152,63.2,1276,557,59,76,77.6,24,45,53.3,4,18,22.2,0,1.4,1.1,-1.4,11,14,6,2,17,Matches
339,Davy Klaassen,nl NED,MF,nl Ajax,29,1993,2.4,59,66,89.4,836,119,36,37,97.3,17,21,81.0,3,3,100.0,0,0.1,0.1,-0.1,2,2,0,0,2,Matches
340,Jan Kliment,cz CZE,FW,cz Viktoria Plzeň,28,1993,0.5,7,8,87.5,86,16,4,5,80.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,1,0,2,Matches
341,Lukas Klostermann,de GER,DF,de RB Leipzig,26,1996,0.6,17,21,81.0,264,103,6,6,100.0,7,8,87.5,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
342,Ansgar Knauff,de GER,"DF,FW",de Eint Frankfurt,20,2002,3.3,84,132,63.6,1381,482,33,45,73.3,46,66,69.7,3,16,18.8,1,0.5,0.2,+0.5,3,2,2,0,7,Matches
343,Gregor Kobel,ch SUI,GK,de Dortmund,24,1997,3.5,109,143,76.2,2490,1568,27,27,100.0,59,60,98.3,22,54,40.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
344,Philipp Köhn,ch SUI,GK,at RB Salzburg,24,1998,6.0,95,143,66.4,3180,2558,16,16,100.0,33,33,100.0,46,94,48.9,0,0.0,0.0,0.0,0,3,0,0,0,Matches
345,Sekou Koita,ml MLI,FW,at RB Salzburg,22,1999,0.2,7,8,87.5,102,10,5,5,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
346,Koke,es ESP,MF,es Atlético Madrid,30,1992,3.7,230,260,88.5,3688,1033,134,142,94.4,65,74,87.8,25,35,71.4,0,0.2,0.1,-0.2,3,18,1,0,23,Matches
347,Sead Kolašinac,ba BIH,DF,fr Marseille,29,1993,1.7,102,118,86.4,1758,490,43,48,89.6,50,57,87.7,8,10,80.0,0,0.0,0.1,0.0,0,5,0,0,10,Matches
348,Randal Kolo Muani,fr FRA,FW,de Eint Frankfurt,23,1998,5.7,61,95,64.2,662,99,43,60,71.7,11,21,52.4,1,3,33.3,0,0.2,0.3,-0.2,3,3,1,0,3,Matches
349,Ibrahima Konaté,fr FRA,DF,eng Liverpool,23,1999,2.9,106,139,76.3,1637,581,54,62,87.1,44,53,83.0,4,18,22.2,0,0.1,0.0,-0.1,1,2,0,0,3,Matches
350,Geoffrey Kondogbia,cf CTA,MF,es Atlético Madrid,29,1993,2.5,182,210,86.7,3451,827,85,93,91.4,65,72,90.3,27,37,73.0,0,0.0,0.2,0.0,1,21,2,0,15,Matches
351,Yukhym Konoplia,ua UKR,DF,ua Shakhtar,22,1999,4.6,175,212,82.5,2779,1061,98,106,92.5,61,68,89.7,14,20,70.0,0,0.2,0.0,-0.2,4,9,1,0,14,Matches
352,Jan Kopic,cz CZE,"FW,MF",cz Viktoria Plzeň,32,1990,0.9,14,19,73.7,167,31,10,11,90.9,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,2,Matches
353,Odilon Kossounou,ci CIV,DF,de Leverkusen,21,2001,4.8,260,314,82.8,4297,1656,134,147,91.2,107,123,87.0,15,30,50.0,0,0.1,0.1,-0.1,2,30,2,0,26,Matches
354,Filip Kostić,rs SRB,"DF,FW",it Juventus,29,1992,4.8,172,249,69.1,2717,686,101,120,84.2,55,83,66.3,12,31,38.7,1,1.3,0.5,-0.3,12,14,7,5,15,Matches
355,Kalidou Koulibaly,sn SEN,DF,eng Chelsea,31,1991,6.3,318,360,88.3,5549,2507,142,153,92.8,151,160,94.4,20,37,54.1,0,0.5,0.4,-0.5,3,29,2,0,26,Matches
356,Jules Koundé,fr FRA,DF,es Barcelona,23,1998,2.7,200,221,90.5,3530,1302,92,100,92.0,96,104,92.3,12,15,80.0,1,0.1,0.2,+0.9,1,19,1,0,28,Matches
357,Mateo Kovačić,hr CRO,MF,eng Chelsea,28,1994,6.9,435,498,87.3,7162,2096,207,228,90.8,189,207,91.3,29,38,76.3,0,0.8,1.1,-0.8,8,67,11,0,52,Matches
358,Adam Kronus,,FW,cz Viktoria Plzeň,20,2002,0.0,2,4,50.0,35,18,1,2,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
359,Toni Kroos,de GER,MF,es Real Madrid,32,1990,9.4,831,909,91.4,14527,5367,395,418,94.5,312,320,97.5,97,128,75.8,2,0.9,1.2,+1.1,16,107,8,3,88,Matches
360,Rade Krunić,ba BIH,"MF,FW",it Milan,28,1993,9.1,283,343,82.5,4550,1239,151,172,87.8,105,123,85.4,18,24,75.0,0,0.0,0.1,0.0,0,24,1,0,27,Matches
361,Dmytro Kryskiv,ua UKR,MF,ua Shakhtar,21,2000,0.1,4,4,100.0,73,12,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
362,Serhiy Kryvtsov,ua UKR,DF,ua Shakhtar,31,1991,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
363,Mohammed Kudus,gh GHA,FW,nl Ajax,21,2000,5.0,102,123,82.9,1716,215,48,57,84.2,41,48,85.4,9,10,90.0,3,0.3,0.2,+2.7,5,9,1,0,9,Matches
364,Dejan Kulusevski,se SWE,"MF,DF",eng Tottenham,22,2000,2.2,69,93,74.2,1053,205,39,47,83.0,23,31,74.2,5,9,55.6,0,0.3,0.2,-0.3,4,3,3,2,5,Matches
365,Khvicha Kvaratskhelia,ge GEO,FW,it Napoli,21,2001,7.7,212,288,73.6,3082,640,131,150,87.3,48,67,71.6,17,33,51.5,4,2.4,2.1,+1.6,17,8,8,2,19,Matches
366,Konrad Laimer,at AUT,"MF,FW",de RB Leipzig,25,1997,2.9,74,91,81.3,1064,255,34,40,85.0,32,36,88.9,1,5,20.0,0,0.4,0.4,-0.4,2,6,2,1,6,Matches
367,Érik Lamela,ar ARG,"FW,MF",es Sevilla,30,1992,3.1,97,121,80.2,1593,249,48,59,81.4,39,47,83.0,8,10,80.0,0,0.6,0.5,-0.6,5,4,4,0,16,Matches
368,Noa Lang,nl NED,FW,be Club Brugge,23,1999,3.2,103,150,68.7,1612,522,44,56,78.6,43,51,84.3,7,25,28.0,0,0.1,0.2,-0.1,3,7,6,1,12,Matches
369,Aymeric Laporte,es ESP,DF,eng Manchester City,28,1994,3.2,252,270,93.3,4388,1123,100,102,98.0,133,139,95.7,16,24,66.7,0,0.1,0.1,-0.1,1,38,0,0,15,Matches
370,Cyle Larin,ca CAN,"FW,MF",be Club Brugge,27,1995,0.1,1,1,100.0,14,1,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
