Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
294,Dušan Jovančić,rs SRB,MF,rs Red Star,27,1990,3.0,135,7,42,73,23,2,135,11,8,72.7,3,27.3,87,564,347,8,4,0,2,5,84,1,Matches
295,Dejan Joveljić,rs SRB,FW,rs Red Star,18,1999,0.6,26,0,2,17,7,1,26,2,1,50.0,1,50.0,13,74,51,1,2,0,3,1,21,5,Matches
296,Stevan Jovetić,me MNE,FW,fr Monaco,28,1989,0.1,5,0,1,1,3,0,5,0,0,,0,,8,45,18,1,1,0,0,3,7,4,Matches
297,Branko Jovičić,rs SRB,MF,rs Red Star,25,1993,2.6,146,3,62,83,4,0,146,2,1,50.0,1,50.0,77,417,186,1,2,0,1,3,74,0,Matches
298,Juanfran,es ESP,DF,es Atlético Madrid,33,1985,5.0,281,13,72,113,97,6,281,6,3,50.0,3,50.0,138,642,311,9,8,3,3,3,151,31,Matches
299,Vinicius Júnior,br BRA,FW,es Real Madrid,18,2000,2.6,107,0,7,38,66,21,107,19,11,57.9,8,42.1,92,758,454,19,3,15,6,5,89,26,Matches
300,Ozan Kabak,tr TUR,DF,tr Galatasaray,18,2000,4.0,341,18,143,187,13,4,341,5,4,80.0,1,20.0,178,907,500,4,1,0,9,1,240,0,Matches
301,Pavel Kadeřábek,cz CZE,"DF,MF",de Hoffenheim,26,1992,6.0,316,22,74,162,82,16,316,3,2,66.7,1,33.3,134,899,589,21,6,5,5,2,188,40,Matches
302,Shinji Kagawa,jp JPN,MF,de Dortmund,29,1989,0.3,24,0,1,9,15,2,24,1,1,100.0,0,0.0,18,55,31,0,0,0,0,1,18,3,Matches
303,Nikola Kalinić,hr CRO,FW,es Atlético Madrid,30,1988,1.2,35,2,5,11,20,5,35,1,0,0.0,1,100.0,19,115,74,4,2,1,4,0,24,9,Matches
304,Harry Kane,eng ENG,FW,eng Tottenham,25,1993,8.6,301,8,11,142,154,50,301,27,13,48.1,14,51.9,213,1272,519,24,11,14,27,12,242,68,Matches
305,Rick Karsdorp,nl NED,"MF,DF",it Roma,23,1995,0.8,53,3,20,21,13,0,53,2,1,50.0,1,50.0,20,142,80,2,3,0,1,1,17,3,Matches
306,Olarenwaju Kayode,ng NGA,"FW,MF",ua Shakhtar,25,1993,0.5,21,0,5,6,10,4,21,0,0,,0,,11,24,4,0,0,0,1,0,10,4,Matches
307,Moise Kean,it ITA,FW,it Juventus,18,2000,0.8,17,0,0,5,13,7,17,3,2,66.7,1,33.3,14,130,41,2,1,2,1,3,16,4,Matches
308,Thilo Kehrer,de GER,DF,fr Paris S-G,21,1996,5.4,391,20,135,213,44,8,391,4,4,100.0,0,0.0,205,967,568,9,6,2,5,2,273,16,Matches
309,Naby Keïta,gn GUI,MF,eng Liverpool,23,1995,2.7,186,3,28,117,45,11,186,11,8,72.7,3,27.3,123,767,450,13,10,4,5,5,132,5,Matches
310,Sami Khedira,de GER,MF,it Juventus,31,1987,1.2,80,2,12,57,12,5,80,0,0,,0,,40,121,36,0,0,0,1,0,63,4,Matches
311,Davit Khocholava,ge GEO,DF,ua Shakhtar,25,1993,2.5,169,21,73,95,1,0,169,0,0,,0,,93,293,153,0,0,0,0,1,114,0,Matches
312,Khetag Khosonov,ru RUS,"MF,DF",ru CSKA Moscow,20,1998,0.5,48,0,3,24,22,5,48,3,1,33.3,2,66.7,34,259,105,4,5,2,1,2,37,7,Matches
313,Joshua Kimmich,de GER,"DF,MF",de Bayern Munich,23,1995,7.0,623,18,178,297,151,9,623,7,2,28.6,5,71.4,374,2145,1051,20,25,2,4,7,433,34,Matches
314,Presnel Kimpembe,fr FRA,DF,fr Paris S-G,22,1995,7.2,577,39,235,321,25,2,577,5,3,60.0,2,40.0,355,1648,849,5,7,0,10,4,418,3,Matches
315,Viktor Klonaridis,be BEL,"MF,FW",gr AEK Athens,26,1992,3.5,107,1,12,60,41,10,107,17,6,35.3,11,64.7,77,571,263,8,4,2,9,4,81,20,Matches
316,Justin Kluivert,nl NED,FW,it Roma,19,1999,3.5,140,2,13,45,85,14,140,16,9,56.3,7,43.8,89,711,380,17,10,5,6,2,103,29,Matches
317,Koke,es ESP,MF,es Atlético Madrid,26,1992,6.2,566,11,71,327,172,14,566,3,3,100.0,0,0.0,327,1541,711,13,15,1,8,9,416,26,Matches
318,Daniel Kolář,cz CZE,"FW,MF",cz Viktoria Plzeň,32,1985,1.0,33,0,1,18,15,2,33,0,0,,0,,18,73,20,1,0,0,3,1,24,6,Matches
319,Aleksandar Kolarov,rs SRB,"DF,MF",it Roma,32,1985,7.3,538,29,154,240,152,9,538,16,7,43.8,9,56.3,278,1747,1242,26,18,2,5,5,326,46,Matches
320,Vincent Kompany,be BEL,DF,eng Manchester City,32,1986,2.3,212,10,62,148,3,2,212,0,0,,0,,139,773,354,3,0,0,1,0,158,0,Matches
321,Geoffrey Kondogbia,cf CTA,MF,es Valencia,25,1993,4.5,328,20,89,213,28,6,328,4,3,75.0,1,25.0,201,933,369,2,3,0,8,8,221,0,Matches
322,Yevhen Konoplyanka,ua UKR,"FW,MF",de Schalke 04,28,1989,5.1,196,2,17,74,110,16,196,16,12,75.0,4,25.0,125,1347,766,31,12,12,7,9,133,42,Matches
323,Jan Kopic,cz CZE,"MF,FW",cz Viktoria Plzeň,28,1990,3.3,134,3,22,64,54,7,134,7,5,71.4,2,28.6,70,540,280,6,7,3,2,4,95,24,Matches
324,Kalidou Koulibaly,sn SEN,DF,it Napoli,27,1991,6.0,532,40,194,330,13,4,532,3,3,100.0,0,0.0,368,1518,901,6,2,0,5,0,387,3,Matches
325,Viktor Kovalenko,ua UKR,"MF,FW",ua Shakhtar,22,1996,4.1,184,5,30,108,51,10,184,1,0,0.0,1,100.0,125,636,281,10,9,3,8,9,135,9,Matches
326,Jan Kovařík,cz CZE,"FW,MF",cz Viktoria Plzeň,30,1988,4.0,159,14,36,47,79,7,159,1,1,100.0,0,0.0,68,327,194,5,6,1,2,3,98,27,Matches
327,Matúš Kozáčik,sk SVK,GK,cz Viktoria Plzeň,34,1983,2.0,79,69,79,0,0,0,79,0,0,,0,,32,219,159,0,0,0,0,0,30,0,Matches
