Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
282,Sebastian Jung,de GER,DF,de Wolfsburg,25,1990,1.7,,,,,,,,,,,,,,,1,,,,,,Matches
283,Junior Kabananga,cd COD,FW,kz FC Astana,26,1989,5.2,,,,,,,,,,,,,,,1,,,,,,Matches
284,Aldo Kalulu,cd COD,"FW,MF",fr Lyon,19,1996,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
285,Kevin Kampl,si SVN,MF,de Leverkusen,24,1990,6.0,,,,,,,,,,,,,,,2,,,,,,Matches
286,Anton Kanibolotskiy,ua UKR,GK,ua Shakhtar,27,1988,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
287,Wilfrid Kaptoum,cm CMR,MF,es Barcelona,19,1996,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
288,Jem Karacan,tr TUR,MF,tr Galatasaray,26,1989,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
289,Alyaksandr Karnitsky,by BLR,MF,by BATE Borisov,26,1989,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
290,Pajtim Kasami,ch SUI,"FW,MF",gr Olympiacos,23,1992,5.4,,,,,,,,,,,,,,,0,,,,,,Matches
291,Semih Kaya,tr TUR,DF,tr Galatasaray,24,1991,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
292,Seydou Keita,ml MLI,MF,it Roma,35,1980,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
293,Kenedy,br BRA,"FW,MF",eng Chelsea,19,1996,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
294,Mikhail Kerzhakov,ru RUS,GK,ru Zenit,28,1987,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
295,Foxi Kéthévoama,cf CTA,"FW,MF",kz FC Astana,29,1986,5.7,,,,,,,,,,,,,,,1,,,,,,Matches
296,Yevhen Khacheridi,ua UKR,DF,ua Dynamo Kyiv,28,1987,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
297,Sami Khedira,de GER,MF,it Juventus,28,1987,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
298,Stefan Kießling,de GER,"FW,MF",de Leverkusen,31,1984,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
299,Joshua Kimmich,de GER,"DF,MF",de Bayern Munich,20,1995,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
300,Bilal Kısa,tr TUR,MF,tr Galatasaray,32,1983,3.4,,,,,,,,,,,,,,,1,,,,,,Matches
301,Timm Klose,ch SUI,DF,de Wolfsburg,27,1988,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
