Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
370,Jackson Martínez,co COL,FW,es Atlético Madrid,28,1986,2.7,,,,,,,,,,,,,,,0,,,,,,Matches
371,Javi Martínez,es ESP,"DF,MF",de Bayern Munich,26,1988,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
372,Bruno Martins Indi,nl NED,DF,pt Porto,23,1992,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
373,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,31,1984,7.3,,,,,,,,,,,,,,,0,,,,,,Matches
374,Arthur Masuaku,cd COD,"DF,MF",gr Olympiacos,21,1993,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
375,Juan Mata,es ESP,"FW,MF",eng Manchester Utd,27,1988,3.6,,,,,,,,,,,,,,,2,,,,,,Matches
376,Alexandru Mățel,ro ROU,DF,hr Dinamo Zagreb,25,1989,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
377,Jérémy Mathieu,fr FRA,DF,es Barcelona,31,1983,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
378,Nemanja Matić,rs SRB,MF,eng Chelsea,26,1988,4.2,,,,,,,,,,,,,,,0,,,,,,Matches
379,Thomas Matton,be BEL,MF,be Gent,29,1985,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
380,Blaise Matuidi,fr FRA,MF,fr Paris S-G,28,1987,8.5,,,,,,,,,,,,,,,2,,,,,,Matches
381,Maurício,br BRA,MF,ru Zenit,26,1988,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
382,Maxwell,br BRA,DF,fr Paris S-G,33,1981,9.0,,,,,,,,,,,,,,,2,,,,,,Matches
383,Dzmitry Mazalewski,by BLR,FW,by BATE Borisov,30,1985,2.5,,,,,,,,,,,,,,,0,,,,,,Matches
384,Admir Mehmedi,ch SUI,"FW,MF",de Leverkusen,24,1991,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
385,Agon Mehmeti,al ALB,FW,se Malmö,25,1989,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
386,Memphis,nl NED,"FW,MF",eng Manchester Utd,21,1994,3.6,,,,,,,,,,,,,,,0,,,,,,Matches
387,Tiago Mendes,pt POR,MF,es Atlético Madrid,34,1981,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
388,Per Mertesacker,de GER,DF,eng Arsenal,30,1984,5.4,,,,,,,,,,,,,,,0,,,,,,Matches
389,Lionel Messi,ar ARG,"FW,MF",es Barcelona,28,1987,7.0,,,,,,,,,,,,,,,1,,,,,,Matches
390,Dor Micha,il ISR,MF,il Maccabi Tel Aviv,23,1992,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
391,Georgi Milanov,bg BUL,"FW,MF",ru CSKA Moscow,23,1992,2.4,,,,,,,,,,,,,,,0,,,,,,Matches
392,Danijel Milićević,ba BIH,"FW,MF",be Gent,29,1986,7.4,,,,,,,,,,,,,,,1,,,,,,Matches
393,Luka Milivojević,rs SRB,MF,gr Olympiacos,24,1991,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
394,Nemanja Milunović,rs SRB,DF,by BATE Borisov,26,1989,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
395,Santi Mina,es ESP,FW,es Valencia,19,1995,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
396,Rafa Mir,es ESP,FW,es Valencia,18,1997,0.6,,,,,,,,,,,,,,,0,,,,,,Matches
397,Kostas Mitroglou,gr GRE,FW,pt Benfica,27,1988,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
398,Nikola Mitrović,rs SRB,MF,il Maccabi Tel Aviv,28,1987,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
399,Stefan Mitrović,rs SRB,DF,be Gent,25,1990,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
400,Filip Mladenović,rs SRB,"DF,MF",by BATE Borisov,23,1991,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
401,Luka Modrić,hr CRO,MF,es Real Madrid,29,1985,10.0,,,,,,,,,,,,,,,0,,,,,,Matches
402,Nacho Monreal,es ESP,DF,eng Arsenal,29,1986,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
403,Júnior Moraes,ua UKR,FW,ua Dynamo Kyiv,28,1987,4.8,,,,,,,,,,,,,,,0,,,,,,Matches
404,Álvaro Morata,es ESP,FW,it Juventus,22,1992,5.9,,,,,,,,,,,,,,,2,,,,,,Matches
405,Jérémy Morel,mg MAD,DF,fr Lyon,31,1984,3.9,,,,,,,,,,,,,,,0,,,,,,Matches
406,Héctor Moreno,mx MEX,DF,nl PSV Eindhoven,27,1988,8.3,,,,,,,,,,,,,,,0,,,,,,Matches
407,Thiago Motta,it ITA,MF,fr Paris S-G,32,1982,8.3,,,,,,,,,,,,,,,0,,,,,,Matches
408,Lucas Moura,br BRA,"FW,MF",fr Paris S-G,22,1992,4.1,,,,,,,,,,,,,,,1,,,,,,Matches
409,Thomas Müller,de GER,"FW,MF",de Bayern Munich,25,1989,10.3,,,,,,,,,,,,,,,3,,,,,,Matches
410,Juan Muñoz,es ESP,"FW,MF",es Sevilla,19,1995,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
411,Ahmed Musa,ng NGA,"FW,MF",ru CSKA Moscow,22,1992,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
412,Mario Musa,hr CRO,"DF,MF",hr Dinamo Zagreb,25,1990,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
413,Fernando Muslera,uy URU,GK,tr Galatasaray,29,1986,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
414,Shkodran Mustafi,de GER,DF,es Valencia,23,1992,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
415,Serikzhan Muzhikov,kz KAZ,MF,kz FC Astana,26,1989,3.9,,,,,,,,,,,,,,,0,,,,,,Matches
416,Kirill Nababkin,ru RUS,"DF,MF",ru CSKA Moscow,28,1986,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
417,Nacho,es ESP,DF,es Real Madrid,25,1990,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
418,Radja Nainggolan,be BEL,MF,it Roma,27,1988,6.5,,,,,,,,,,,,,,,1,,,,,,Matches
419,Naldo,br BRA,DF,de Wolfsburg,32,1982,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
420,Luciano Narsingh,nl NED,"FW,MF",nl PSV Eindhoven,24,1990,4.9,,,,,,,,,,,,,,,0,,,,,,Matches
421,Samir Nasri,fr FRA,"FW,MF",eng Manchester City,28,1987,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
422,Bibras Natkho,il ISR,MF,ru CSKA Moscow,27,1988,3.2,,,,,,,,,,,,,,,0,,,,,,Matches
423,Jesús Navas,es ESP,"DF,FW",eng Manchester City,29,1985,8.2,,,,,,,,,,,,,,,1,,,,,,Matches
424,Keylor Navas,cr CRC,GK,es Real Madrid,28,1986,11.3,,,,,,,,,,,,,,,0,,,,,,Matches
425,Álvaro Negredo,es ESP,FW,es Valencia,29,1985,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
426,Luís Neto,pt POR,DF,ru Zenit,27,1988,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
427,Renato Neto,br BRA,MF,be Gent,23,1991,8.0,,,,,,,,,,,,,,,1,,,,,,Matches
428,Manuel Neuer,de GER,GK,de Bayern Munich,29,1986,11.3,,,,,,,,,,,,,,,0,,,,,,Matches
429,Rúben Neves,pt POR,MF,pt Porto,18,1997,5.2,,,,,,,,,,,,,,,1,,,,,,Matches
430,Neymar,br BRA,"FW,MF",es Barcelona,23,1992,9.0,,,,,,,,,,,,,,,5,,,,,,Matches
431,Lasse Nielsen,dk DEN,DF,be Gent,27,1988,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
432,Saúl Ñíguez,es ESP,"DF,MF",es Atlético Madrid,20,1994,11.6,,,,,,,,,,,,,,,1,,,,,,Matches
433,Nemanja Nikolić,me MNE,MF,by BATE Borisov,27,1988,2.9,,,,,,,,,,,,,,,1,,,,,,Matches
434,Christopher Nkunku,fr FRA,"FW,MF",fr Paris S-G,17,1997,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
435,Håvard Nordtveit,no NOR,"DF,MF",de Gladbach,25,1990,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
436,Tanat Nusserbayev,kz KAZ,"FW,MF",kz FC Astana,28,1987,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
437,Steven Nzonzi,fr FRA,MF,es Sevilla,26,1988,3.2,,,,,,,,,,,,,,,0,,,,,,Matches
438,John Obi Mikel,ng NGA,MF,eng Chelsea,28,1987,2.7,,,,,,,,,,,,,,,0,,,,,,Matches
439,Jan Oblak,si SVN,GK,es Atlético Madrid,22,1993,13.7,,,,,,,,,,,,,,,0,,,,,,Matches
440,Lucas Orbán,ar ARG,DF,es Valencia,26,1989,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
441,Ivan Ordets,ua UKR,DF,ua Shakhtar,23,1992,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
442,Oscar,br BRA,"FW,MF",eng Chelsea,23,1991,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
443,David Ospina,co COL,GK,eng Arsenal,26,1988,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
444,Dani Osvaldo,it ITA,FW,pt Porto,29,1986,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
445,Nicolás Otamendi,ar ARG,DF,eng Manchester City,27,1988,10.4,,,,,,,,,,,,,,,0,,,,,,Matches
446,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",eng Arsenal,21,1993,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
447,Mesut Özil,de GER,MF,eng Arsenal,26,1988,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
448,Yasin Öztekin,tr TUR,MF,tr Galatasaray,28,1987,4.4,,,,,,,,,,,,,,,0,,,,,,Matches
449,Dzyanis Palyakow,by BLR,DF,by BATE Borisov,24,1991,5.6,,,,,,,,,,,,,,,0,,,,,,Matches
450,Kirill Panchenko,ru RUS,"FW,MF",ru CSKA Moscow,25,1989,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
451,Kyriakos Papadopoulos,gr GRE,"DF,MF",de Leverkusen,23,1992,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
452,Felipe Pardo,co COL,"FW,MF",gr Olympiacos,24,1990,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
453,Daniel Parejo,es ESP,MF,es Valencia,26,1989,5.8,,,,,,,,,,,,,,,0,,,,,,Matches
454,Thomas Partey,gh GHA,"DF,MF",es Atlético Madrid,22,1993,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
455,Javier Pastore,ar ARG,MF,fr Paris S-G,26,1989,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
456,Gabriel Paulista,br BRA,DF,eng Arsenal,24,1990,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
457,Domagoj Pavičić,hr CRO,MF,hr Dinamo Zagreb,21,1994,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
458,Nicklas Pedersen,dk DEN,FW,be Gent,27,1987,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
459,Pedro,es ESP,"FW,MF",eng Chelsea,28,1987,3.3,,,,,,,,,,,,,,,0,,,,,,Matches
460,Pepe,pt POR,"DF,MF",es Real Madrid,32,1983,8.4,,,,,,,,,,,,,,,0,,,,,,Matches
461,Andreas Pereira,br BRA,MF,eng Manchester Utd,19,1996,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
462,Danilo Pereira,pt POR,"DF,FW",pt Porto,23,1991,5.4,,,,,,,,,,,,,,,0,,,,,,Matches
463,Maxi Pereira,uy URU,DF,pt Porto,31,1984,5.1,,,,,,,,,,,,,,,1,,,,,,Matches
464,Gastón Pereiro,uy URU,"FW,MF",nl PSV Eindhoven,20,1995,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
465,Dor Peretz,il ISR,MF,il Maccabi Tel Aviv,20,1995,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
466,Roberto Pereyra,ar ARG,"DF,FW",it Juventus,24,1991,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
467,Enzo Pérez,ar ARG,MF,es Valencia,29,1986,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
468,Diego Perotti,ar ARG,"FW,MF",it Roma,27,1988,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
469,Pablo Piatti,ar ARG,"FW,MF",es Valencia,26,1989,2.5,,,,,,,,,,,,,,,1,,,,,,Matches
470,Ivo Pinto,pt POR,DF,hr Dinamo Zagreb,25,1990,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
471,Gerard Piqué,es ESP,DF,es Barcelona,28,1987,6.6,,,,,,,,,,,,,,,0,,,,,,Matches
472,Josip Pivarić,hr CRO,DF,hr Dinamo Zagreb,26,1989,4.9,,,,,,,,,,,,,,,1,,,,,,Matches
473,Pizzi,pt POR,"FW,MF",pt Benfica,25,1989,5.9,,,,,,,,,,,,,,,0,,,,,,Matches
474,Marko Pjaca,hr CRO,"FW,MF",hr Dinamo Zagreb,20,1995,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
475,Miralem Pjanić,ba BIH,MF,it Roma,25,1990,6.3,,,,,,,,,,,,,,,1,,,,,,Matches
476,Lukas Podolski,de GER,"FW,MF",tr Galatasaray,30,1985,5.5,,,,,,,,,,,,,,,0,,,,,,Matches
477,Paul Pogba,fr FRA,MF,it Juventus,22,1993,8.3,,,,,,,,,,,,,,,2,,,,,,Matches
478,Yevgeny Postnikov,kz KAZ,DF,kz FC Astana,29,1986,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
479,Simon Poulsen,dk DEN,DF,nl PSV Eindhoven,30,1984,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
480,Nick Powell,eng ENG,"FW,MF",eng Manchester Utd,21,1994,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
481,Davy Pröpper,nl NED,MF,nl PSV Eindhoven,23,1991,8.3,,,,,,,,,,,,,,,0,,,,,,Matches
482,Leandro Putaro,de GER,"FW,MF",de Wolfsburg,18,1997,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
483,Andriy Pyatov,ua UKR,GK,ua Shakhtar,31,1984,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
484,Adrien Rabiot,fr FRA,MF,fr Paris S-G,20,1995,5.8,,,,,,,,,,,,,,,0,,,,,,Matches
485,Dejan Radonjić,hr CRO,FW,il Maccabi Tel Aviv,25,1990,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
486,Rafael,br BRA,"DF,MF",fr Lyon,25,1990,3.8,,,,,,,,,,,,,,,0,,,,,,Matches
487,Raffael,br BRA,"FW,MF",de Gladbach,30,1985,5.8,,,,,,,,,,,,,,,1,,,,,,Matches
488,Rafinha,br BRA,DF,de Bayern Munich,29,1985,2.5,,,,,,,,,,,,,,,0,,,,,,Matches
489,Rafinha,br BRA,MF,es Barcelona,22,1993,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
490,Rafinha,br BRA,"DF,FW",be Gent,33,1982,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
491,Baba Rahman,gh GHA,"DF,MF",eng Chelsea,21,1994,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
492,Predrag Rajković,rs SRB,GK,il Maccabi Tel Aviv,19,1995,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
493,Erdal Rakip,mk MKD,MF,se Malmö,19,1996,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
494,Ivan Rakitić,hr CRO,MF,es Barcelona,27,1988,7.8,,,,,,,,,,,,,,,2,,,,,,Matches
495,Yaroslav Rakitskiy,ua UKR,DF,ua Shakhtar,25,1989,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
496,André Ramalho,br BRA,DF,de Leverkusen,23,1992,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
497,Benito Raman,be BEL,"FW,MF",be Gent,20,1994,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
498,Adil Rami,fr FRA,DF,es Sevilla,29,1985,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
499,Ramires,br BRA,MF,eng Chelsea,28,1987,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
500,Sandro Ramírez,es ESP,"FW,MF",es Barcelona,20,1995,1.9,,,,,,,,,,,,,,,0,,,,,,Matches
501,Sergio Ramos,es ESP,DF,es Real Madrid,29,1986,10.0,,,,,,,,,,,,,,,0,,,,,,Matches
502,Aaron Ramsey,wls WAL,MF,eng Arsenal,24,1990,3.3,,,,,,,,,,,,,,,1,,,,,,Matches
503,Loïc Rémy,fr FRA,FW,eng Chelsea,28,1987,1.1,,,,,,,,,,,,,,,1,,,,,,Matches
504,Franck Ribéry,fr FRA,"FW,MF",de Bayern Munich,32,1983,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
505,Sergio Rico,es ESP,GK,es Sevilla,21,1993,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
506,Avi Rikan,il ISR,MF,il Maccabi Tel Aviv,26,1988,5.1,,,,,,,,,,,,,,,0,,,,,,Matches
507,Artur Rimovič Jusupov,ru RUS,"FW,MF",ru Zenit,25,1989,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
508,Alexei Rios,by BLR,"DF,MF",by BATE Borisov,28,1987,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
509,Arjen Robben,nl NED,"FW,MF",de Bayern Munich,31,1984,1.8,,,,,,,,,,,,,,,1,,,,,,Matches
510,Roberto,es ESP,GK,gr Olympiacos,29,1986,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
511,Sergi Roberto,es ESP,"DF,MF",es Barcelona,23,1992,3.7,,,,,,,,,,,,,,,0,,,,,,Matches
512,Sebastian Rode,de GER,MF,de Bayern Munich,24,1990,1.0,,,,,,,,,,,,,,,1,,,,,,Matches
513,Vladimir Rodić,me MNE,"DF,MF",se Malmö,21,1993,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
514,Rodrigo,es ESP,"FW,MF",es Valencia,24,1991,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
515,James Rodríguez,co COL,"FW,MF",es Real Madrid,24,1991,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
516,José Rodríguez,es ESP,MF,tr Galatasaray,20,1994,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
517,Ricardo Rodríguez,ch SUI,"DF,MF",de Wolfsburg,22,1992,8.2,,,,,,,,,,,,,,,1,,,,,,Matches
518,Marko Rog,hr CRO,MF,hr Dinamo Zagreb,20,1995,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
519,Marcos Rojo,ar ARG,DF,eng Manchester Utd,25,1990,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
520,Cristiano Ronaldo,pt POR,"FW,MF",es Real Madrid,30,1985,12.3,,,,,,,,,,,,,,,4,,,,,,Matches
521,Wayne Rooney,eng ENG,"FW,MF",eng Manchester Utd,29,1985,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
522,Markus Rosenberg,se SWE,FW,se Malmö,32,1982,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
523,Antonio Rüdiger,de GER,DF,it Roma,22,1993,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
524,Daniele Rugani,it ITA,DF,it Juventus,21,1994,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
525,Aleksandr Ryazantsev,ru RUS,MF,ru Zenit,28,1986,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
526,Serhiy Rybalka,ua UKR,MF,ua Dynamo Kyiv,25,1990,7.0,,,,,,,,,,,,,,,1,,,,,,Matches
527,Oleksandr Rybka,ua UKR,GK,ua Dynamo Kyiv,28,1987,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
528,Bacary Sagna,fr FRA,DF,eng Manchester City,32,1983,10.1,,,,,,,,,,,,,,,0,,,,,,Matches
529,Kenny Saief,us USA,"DF,MF",be Gent,21,1993,3.9,,,,,,,,,,,,,,,1,,,,,,Matches
530,Mohamed Salah,eg EGY,"FW,MF",it Roma,23,1992,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
531,Leandro Salino,br BRA,"DF,MF",gr Olympiacos,30,1985,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
532,Eduardo Salvio,ar ARG,"FW,MF",pt Benfica,25,1990,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
533,Andreas Samaris,gr GRE,MF,pt Benfica,26,1989,5.5,,,,,,,,,,,,,,,0,,,,,,Matches
534,Sergi Samper,es ESP,MF,es Barcelona,20,1995,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
535,Tobias Sana,se SWE,"FW,MF",se Malmö,26,1989,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
536,Renato Sanches,pt POR,MF,pt Benfica,17,1997,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
537,Alexis Sánchez,cl CHI,"FW,MF",eng Arsenal,26,1988,6.9,,,,,,,,,,,,,,,5,,,,,,Matches
538,Alex Sandro,br BRA,"DF,MF",it Juventus,24,1991,4.4,,,,,,,,,,,,,,,1,,,,,,Matches
539,Aderlan Santos,br BRA,DF,es Valencia,26,1989,2.3,,,,,,,,,,,,,,,0,,,,,,Matches
540,Gonçalo Santos,pt POR,MF,hr Dinamo Zagreb,28,1986,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
541,Sabri Sarıoğlu,tr TUR,"DF,MF",tr Galatasaray,31,1984,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
542,Stefan Savić,me MNE,"DF,MF",es Atlético Madrid,24,1991,5.3,,,,,,,,,,,,,,,0,,,,,,Matches
543,Stijn Schaars,nl NED,MF,nl PSV Eindhoven,31,1984,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
544,Marcel Schäfer,de GER,"DF,MF",de Wolfsburg,31,1984,1.9,,,,,,,,,,,,,,,1,,,,,,Matches
545,Morgan Schneiderlin,fr FRA,MF,eng Manchester Utd,25,1989,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
546,Marvin Schulz,de GER,"DF,MF",de Gladbach,20,1995,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
547,Nico Schulz,de GER,"DF,FW",de Gladbach,22,1993,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
548,André Schürrle,de GER,"FW,MF",de Wolfsburg,24,1990,6.7,,,,,,,,,,,,,,,0,,,,,,Matches
549,Bastian Schweinsteiger,de GER,"DF,MF",eng Manchester Utd,30,1984,4.7,,,,,,,,,,,,,,,0,,,,,,Matches
550,Sebá,br BRA,"FW,MF",gr Olympiacos,23,1992,4.8,,,,,,,,,,,,,,,0,,,,,,Matches
551,Matz Sels,be BEL,GK,be Gent,23,1992,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
552,Nélson Semedo,pt POR,"DF,MF",pt Benfica,21,1993,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
553,Stephan El Shaarawy,it ITA,"DF,FW",it Roma,22,1992,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
554,Oleg Shatov,ru RUS,"FW,MF",ru Zenit,25,1990,5.4,,,,,,,,,,,,,,,3,,,,,,Matches
555,Luke Shaw,eng ENG,"DF,MF",eng Manchester Utd,20,1995,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
556,Georgi Shchennikov,ru RUS,"DF,MF",ru CSKA Moscow,24,1991,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
557,Aleksey Shchetkin,kz KAZ,FW,kz FC Astana,24,1991,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
558,Vyacheslav Shevchuk,ua UKR,DF,ua Shakhtar,36,1979,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
559,Dmitriy Shomko,kz KAZ,DF,kz FC Astana,25,1990,5.0,,,,,,,,,,,,,,,1,,,,,,Matches
560,Oleksandr Shovkovskiy,ua UKR,GK,ua Dynamo Kyiv,40,1975,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
561,Leonardo Sigali,ar ARG,DF,hr Dinamo Zagreb,28,1987,3.1,,,,,,,,,,,,,,,0,,,,,,Matches
562,Mikalay Signevich,by BLR,FW,by BATE Borisov,23,1992,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
563,Danilo da Silva,br BRA,DF,ua Dynamo Kyiv,28,1986,5.7,,,,,,,,,,,,,,,0,,,,,,Matches
564,David Silva,es ESP,"FW,MF",eng Manchester City,29,1986,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
565,Eduardo da Silva,hr CRO,FW,ua Shakhtar,32,1983,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
566,Thiago Silva,br BRA,DF,fr Paris S-G,30,1984,9.0,,,,,,,,,,,,,,,0,,,,,,Matches
567,Sílvio,pt POR,DF,pt Benfica,27,1987,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
568,Moses Simon,ng NGA,"FW,MF",be Gent,20,1995,3.3,,,,,,,,,,,,,,,1,,,,,,Matches
569,Dimitris Siovas,gr GRE,"DF,MF",gr Olympiacos,26,1988,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
570,Guilherme Siqueira,br BRA,"DF,MF",es Atlético Madrid,29,1986,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
571,Maicon Sisenando,br BRA,DF,it Roma,34,1981,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
572,Chris Smalling,eng ENG,DF,eng Manchester Utd,25,1989,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
573,Igor Smolnikov,ru RUS,"DF,MF",ru Zenit,26,1988,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
574,Wesley Sneijder,nl NED,MF,tr Galatasaray,31,1984,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
575,Edoardo Soleri,it ITA,FW,it Roma,17,1997,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
576,Yann Sommer,ch SUI,GK,de Gladbach,26,1988,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
577,Hillel Soudani,dz ALG,"FW,MF",hr Dinamo Zagreb,27,1987,4.4,,,,,,,,,,,,,,,0,,,,,,Matches
578,Yuval Spungin,il ISR,DF,il Maccabi Tel Aviv,28,1987,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
579,Darijo Srna,hr CRO,"DF,MF",ua Shakhtar,33,1982,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
580,Benjamin Stambouli,fr FRA,"DF,MF",fr Paris S-G,24,1990,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
581,Ihar Stasevich,by BLR,"FW,MF",by BATE Borisov,29,1985,5.0,,,,,,,,,,,,,,,1,,,,,,Matches
582,Taras Stepanenko,ua UKR,MF,ua Shakhtar,25,1989,4.6,,,,,,,,,,,,,,,1,,,,,,Matches
583,Raheem Sterling,eng ENG,"FW,MF",eng Manchester City,20,1994,6.4,,,,,,,,,,,,,,,2,,,,,,Matches
584,Lars Stindl,de GER,"FW,MF",de Gladbach,26,1988,5.7,,,,,,,,,,,,,,,2,,,,,,Matches
585,Stefano Sturaro,it ITA,MF,it Juventus,22,1993,4.8,,,,,,,,,,,,,,,0,,,,,,Matches
586,Luis Suárez,uy URU,FW,es Barcelona,28,1987,9.0,,,,,,,,,,,,,,,3,,,,,,Matches
