Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
888,Aaron Wan-Bissaka,eng ENG,DF,eng Manchester Utd,22,1997,6,469,78,86.9,5.2,6,78,1,0,,0,1.50,10,8,+2,+0.38,-3.42,8.6,7.5,+1.1,+0.20,-2.30,Matches
889,Wanderson,br BRA,"FW,MF",ru Krasnodar,25,1994,4,205,51,38.0,2.3,2,72,0,2,31,0,1.40,2,2,0,0.00,+1.34,2.6,4.4,-1.8,-0.79,+0.21,Matches
890,Dominik Wanner,de GER,MF,de Dortmund,21,1999,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
891,Wendel,br BRA,"MF,FW",ru Zenit,22,1997,4,141,35,26.1,1.6,1,90,1,3,17,0,0.25,1,5,-4,-2.55,-1.43,1.4,3.3,-1.9,-1.24,-0.39,Matches
892,Oscar Wendt,se SWE,DF,de Gladbach,34,1985,4,215,54,29.9,2.4,3,71,1,1,3,4,0.75,6,5,+1,+0.42,+0.06,5.4,3.7,+1.8,+0.74,+1.46,Matches
893,Timo Werner,de GER,FW,eng Chelsea,24,1996,12,810,68,69.2,9.0,10,79,2,2,12,1,2.50,15,2,+13,+1.44,-0.06,16.1,6.4,+9.8,+1.08,-0.74,Matches
894,Georginio Wijnaldum,nl NED,MF,eng Liverpool,29,1990,9,717,80,79.7,8.0,8,84,5,1,45,1,2.11,14,4,+10,+1.26,+1.75,12.6,10.1,+2.5,+0.31,+1.12,Matches
895,Brandon Williams,eng ENG,DF,eng Manchester Utd,19,2000,2,62,31,11.5,0.7,0,,0,2,31,4,1.50,3,2,+1,+1.45,+0.70,2.2,0.8,+1.4,+1.96,+1.64,Matches
896,Neco Williams,wls WAL,DF,eng Liverpool,19,2001,4,190,48,21.1,2.1,2,90,2,2,5,4,2.25,1,2,-1,-0.47,-1.74,2.7,3.6,-0.9,-0.41,-0.63,Matches
897,Rhys Williams,eng ENG,DF,eng Liverpool,19,2001,6,333,56,37.0,3.7,3,90,3,3,21,4,2.17,8,3,+5,+1.35,+0.72,6.0,5.6,+0.4,+0.11,+0.05,Matches
898,Axel Witsel,be BEL,"MF,DF",de Dortmund,31,1989,5,363,73,40.3,4.0,4,90,4,1,3,1,2.00,8,4,+4,+0.99,+0.66,6.5,4.4,+2.1,+0.52,+0.74,Matches
899,Maximilian Wöber,at AUT,DF,at RB Salzburg,22,1998,6,511,85,94.6,5.7,6,85,4,0,,0,1.25,10,16,-6,-1.06,+2.05,11.1,9.0,+2.1,+0.37,+0.77,Matches
900,Hannes Wolf,at AUT,"MF,FW",de Gladbach,21,1999,7,84,12,11.7,0.9,0,,0,7,12,0,0.71,1,2,-1,-1.07,-1.64,0.9,2.0,-1.1,-1.15,-0.98,Matches
901,Joscha Wosz,de GER,MF,de RB Leipzig,18,2002,0,,,,,0,,,0,,5,,,,,,,,,,,,Matches
902,Ashley Young,eng ENG,DF,it Inter,35,1985,5,417,83,77.2,4.6,5,83,2,0,,0,1.00,5,7,-2,-0.43,-0.43,5.0,5.0,+0.1,+0.02,-1.26,Matches
903,Illia Zabarnyi,ua UKR,DF,ua Dynamo Kyiv,17,2002,6,540,90,100.0,6.0,6,90,6,0,,0,1.44,4,13,-9,-1.50,,6.3,13.0,-6.7,-1.12,,Matches
904,Dan-Axel Zagadou,fr FRA,DF,de Dortmund,21,1999,2,21,11,2.3,0.2,0,,0,2,11,1,2.00,1,1,0,0.00,-0.61,0.0,0.6,-0.5,-2.24,-2.38,Matches
905,Maximilian Zaiser,de GER,MF,de Bayern Munich,21,1999,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
906,Denis Zakaria,ch SUI,"MF,DF",de Gladbach,23,1996,5,292,58,40.6,3.2,2,90,2,3,37,0,0.60,2,6,-4,-1.23,-2.70,2.2,5.6,-3.4,-1.05,-1.30,Matches
907,Duván Zapata,co COL,FW,it Atalanta,29,1991,8,522,65,72.5,5.8,6,76,3,2,33,0,1.38,7,10,-3,-0.52,-1.43,8.8,8.3,+0.5,+0.09,-0.26,Matches
908,Antonio Zarzana,es ESP,FW,es Sevilla,18,2002,0,,,,,0,,,0,,5,,,,,,,,,,,,Matches
909,Rifat Zhemaletdinov,ru RUS,"MF,FW",ru Loko Moscow,23,1996,3,104,35,19.3,1.2,1,62,0,2,21,2,0.67,1,3,-2,-1.73,-1.11,0.8,0.9,-0.1,-0.08,+1.18,Matches
910,Yuri Zhirkov,ru RUS,"MF,DF",ru Zenit,36,1983,3,166,55,30.7,1.8,2,75,0,1,17,2,0.33,2,5,-3,-1.63,-0.18,1.7,4.2,-2.5,-1.35,-0.58,Matches
911,Dmitri Zhivoglyadov,ru RUS,DF,ru Loko Moscow,26,1994,6,533,89,98.7,5.9,6,89,5,0,,0,0.50,5,10,-5,-0.84,-0.84,4.8,10.7,-5.9,-1.00,+2.39,Matches
912,Karlo Ziger,hr CRO,GK,eng Chelsea,19,2001,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
913,Oleksandr Zinchenko,ua UKR,DF,eng Manchester City,23,1996,9,587,65,50.2,6.5,6,86,5,3,23,3,2.44,10,2,+8,+1.23,-0.63,9.8,3.7,+6.0,+0.93,-0.50,Matches
914,Joshua Zirkzee,nl NED,FW,de Bayern Munich,19,2001,1,5,5,0.6,0.1,0,,0,1,5,3,1.00,0,0,0,0.00,-1.71,0.0,0.4,-0.4,-7.11,-7.94,Matches
915,Hakim Ziyech,ma MAR,"FW,MF",eng Chelsea,27,1993,10,349,35,29.8,3.9,3,77,0,7,17,2,2.30,10,2,+8,+2.06,+0.86,9.4,2.0,+7.5,+1.93,+0.88,Matches
916,Kurt Zouma,fr FRA,DF,eng Chelsea,25,1994,5,450,90,38.5,5.0,5,90,5,0,,7,2.60,11,1,+10,+2.00,+0.87,10.2,3.1,+7.1,+1.42,+0.18,Matches
917,Oleksandr Zubkov,ua UKR,"FW,MF",hu Ferencváros,23,1996,5,387,77,71.7,4.3,5,77,1,0,,0,0.43,4,10,-6,-1.40,+2.13,3.5,7.0,-3.5,-0.81,+1.34,Matches
918,Martin Ødegaard,no NOR,MF,es Real Madrid,21,1998,2,133,67,12.3,1.5,2,67,0,0,,0,1.50,1,1,0,0.00,-0.48,2.8,1.4,+1.5,+0.99,+0.79,Matches
