Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
200,Alessandro Florenzi,it ITA,DF,fr Paris S-G,29,1991,9.0,0,4,1,25.0,0.45,0.11,0.00,0.00,20.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
201,Phil Foden,eng ENG,"FW,MF",eng Manchester City,20,2000,11.8,3,33,17,51.5,2.79,1.44,0.09,0.18,17.4,1,0,0,3.4,3.4,0.10,-0.4,-0.4,Matches
202,Emil Forsberg,se SWE,"MF,FW",de RB Leipzig,28,1991,5.1,1,14,2,14.3,2.73,0.39,0.00,0.00,15.0,0,1,1,3.1,2.3,0.17,-2.1,-2.3,Matches
203,Kostas Fortounis,gr GRE,"FW,MF",gr Olympiacos,27,1992,3.2,0,3,0,0.0,0.94,0.00,0.00,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
204,Timothy Fosu-Mensah,nl NED,DF,eng Manchester Utd,22,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
205,Gianluca Frabotta,it ITA,DF,it Juventus,21,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
206,Lassina Franck Traoré,bf BFA,FW,nl Ajax,19,2001,2.2,1,6,2,33.3,2.73,0.91,0.17,0.50,13.1,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches
207,Fred,br BRA,MF,eng Manchester Utd,27,1993,3.8,0,3,1,33.3,0.80,0.27,0.00,0.00,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
208,Remo Freuler,ch SUI,MF,it Atalanta,28,1992,5.8,0,4,1,25.0,0.69,0.17,0.00,0.00,23.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
209,Abraham Frimpong,gh GHA,DF,hu Ferencváros,27,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
210,Roberto Gagliardini,it ITA,MF,it Inter,26,1994,2.8,0,2,0,0.0,0.71,0.00,0.00,,18.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
211,Idrissa Gana Gueye,sn SEN,MF,fr Paris S-G,30,1989,5.4,0,2,0,0.0,0.37,0.00,0.00,,22.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
212,Eric García,es ESP,DF,eng Manchester City,19,2001,2.3,0,2,1,50.0,0.87,0.43,0.00,0.00,7.4,0,0,0,0.8,0.8,0.40,-0.8,-0.8,Matches
213,Yuri Gazinskiy,ru RUS,MF,ru Krasnodar,31,1989,4.2,0,2,0,0.0,0.48,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
214,Yann Gboho,fr FRA,MF,fr Rennes,19,2001,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
215,David de Gea,es ESP,GK,eng Manchester Utd,29,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
216,Valère Germain,fr FRA,"FW,MF",fr Marseille,30,1990,2.2,0,5,1,20.0,2.24,0.45,0.00,0.00,14.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
217,Billy Gilmour,sct SCO,MF,eng Chelsea,19,2001,1.1,0,2,1,50.0,1.87,0.94,0.00,0.00,28.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
218,Matthias Ginter,de GER,DF,de Gladbach,26,1994,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
219,Olivier Giroud,fr FRA,FW,eng Chelsea,33,1986,2.9,6,9,6,66.7,3.13,2.08,0.56,0.83,12.0,0,1,1,2.6,1.8,0.20,+3.4,+3.2,Matches
220,Serge Gnabry,de GER,"FW,MF",de Bayern Munich,25,1995,4.0,0,12,5,41.7,3.00,1.25,0.00,0.00,19.1,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
221,Pierluigi Gollini,it ITA,GK,it Atalanta,25,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
222,Eulânio Ângelo Chipela Gomes,gw GNB,DF,pt Porto,26,1994,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
