Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
590,João Neves,pt POR,MF,pt Benfica,18,2004,6,540,90,100.0,6.0,6,90,6,0,,0,0.67,7,11,-4,-0.67,,7.8,15.9,-8.1,-1.34,,Matches
591,Newerton,br BRA,"MF,FW",ua Shakhtar,18,2005,4,218,55,40.4,2.4,2,79,0,2,30,0,1.50,4,3,+1,+0.41,+1.25,2.5,2.9,-0.4,-0.17,+0.69,Matches
592,Cyril Ngonge,be BEL,FW,it Napoli,23,2000,1,1,1,0.1,0.0,0,,0,1,1,0,0.00,0,0,0,0.00,+0.13,0.1,0.1,0.0,-0.92,-0.79,Matches
593,Sikou Niakaté,ml MLI,DF,pt Braga,24,1999,5,390,78,72.2,4.3,5,78,4,0,,0,1.78,5,9,-4,-0.92,+0.28,6.1,7.8,-1.7,-0.40,-0.43,Matches
594,Tanguy Nianzou,fr FRA,DF,es Sevilla,21,2002,2,33,17,6.1,0.4,0,,0,2,17,1,0.00,0,2,-2,-5.45,-4.92,0.1,1.0,-0.9,-2.34,-1.63,Matches
595,Bart Nieuwkoop,nl NED,DF,nl Feyenoord,27,1996,3,81,27,15.0,0.9,2,32,0,1,17,0,1.00,2,0,+2,+2.22,+2.81,0.7,0.2,+0.5,+0.50,+0.08,Matches
596,Saúl Ñíguez,es ESP,MF,es Atlético Madrid,28,1994,10,435,44,46.8,4.8,5,74,3,5,13,0,2.00,11,6,+5,+1.03,+0.13,5.3,7.1,-1.8,-0.38,-1.39,Matches
597,Adrian Niño,es ESP,FW,es Atlético Madrid,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
598,Eddie Nketiah,eng ENG,FW,eng Arsenal,24,1999,6,141,24,15.2,1.6,1,90,1,5,10,3,1.67,2,1,+1,+0.64,-0.50,2.4,1.7,+0.7,+0.47,0.00,Matches
599,Felix Nmecha,de GER,MF,de Dortmund,22,2000,8,352,44,30.1,3.9,3,71,1,5,28,2,2.00,4,4,0,0.00,-0.66,4.8,6.7,-1.8,-0.47,+0.03,Matches
600,Jean-Pierre Nsame,cm CMR,FW,ch Young Boys,30,1993,4,158,40,29.3,1.8,2,67,0,2,12,2,0.80,3,4,-1,-0.57,+0.61,2.2,2.7,-0.5,-0.30,+1.67,Matches
601,Clinton Nsiala,fr FRA,DF,it Milan,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
602,Matheus Nunes,pt POR,"MF,FW",eng Manchester City,24,1998,7,422,60,45.4,4.7,5,81,2,2,9,2,3.00,15,4,+11,+2.35,+1.64,13.5,3.0,+10.4,+2.23,+0.94,Matches
603,Atakan Nuri Ordu,,GK,tr Galatasaray,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
604,Ethan Nwaneri,eng ENG,MF,eng Arsenal,16,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
605,Ørjan Nyland,no NOR,GK,es Sevilla,32,1990,2,180,90,33.3,2.0,2,90,2,0,,1,0.50,3,4,-1,-0.50,+0.50,2.0,4.5,-2.4,-1.22,-0.61,Matches
606,Matt O'Riley,dk DEN,MF,sct Celtic,22,2000,6,486,81,90.0,5.4,6,81,4,0,,0,0.67,5,11,-6,-1.11,+5.56,4.9,10.2,-5.3,-0.99,+1.43,Matches
607,Armando Obispo,nl NED,DF,nl PSV Eindhoven,24,1999,2,91,46,12.6,1.0,1,90,1,1,1,2,1.00,1,1,0,0.00,+0.57,1.3,1.0,+0.4,+0.37,+0.43,Matches
608,Jan Oblak,si SVN,GK,es Atlético Madrid,30,1993,10,930,93,100.0,10.3,10,93,10,0,,0,2.00,23,13,+10,+0.97,,16.7,12.7,+3.9,+0.39,+0.39,Matches
609,Lucas Ocampos,ar ARG,FW,es Sevilla,29,1994,5,345,69,63.9,3.8,4,83,2,1,15,0,0.40,5,4,+1,+0.26,+3.03,4.2,6.3,-2.1,-0.54,+0.75,Matches
610,Oleh Ocheretko,ua UKR,MF,ua Shakhtar,20,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
611,Álvaro Odriozola,es ESP,"DF,FW",es Real Sociedad,27,1995,3,97,32,13.5,1.1,1,73,0,2,12,1,1.67,0,1,-1,-0.93,-1.36,0.7,1.1,-0.3,-0.28,-0.89,Matches
612,Noah Okafor,ch SUI,FW,it Milan,23,2000,3,36,12,6.7,0.4,0,,0,3,12,1,2.33,1,0,+1,+2.50,+3.21,1.5,0.5,+1.0,+2.62,+2.46,Matches
613,Bryan Okoh,ch SUI,DF,at RB Salzburg,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
614,Olasagasti,es ESP,MF,es Real Sociedad,22,2000,1,8,8,1.1,0.1,0,,0,1,8,7,0.00,1,0,+1,+11.25,+11.12,0.2,0.4,-0.1,-1.57,-2.08,Matches
615,Peter Olayinka,ng NGA,"DF,FW",rs Red Star,27,1995,5,175,35,32.4,1.9,2,51,0,3,25,1,0.20,2,4,-2,-1.03,+0.45,2.5,2.6,0.0,-0.02,+1.47,Matches
616,Paulo Oliveira,pt POR,DF,pt Braga,31,1992,0,,,,,0,,0,0,,6,3.00,,,,,,,,,,,Matches
617,Sérgio Oliveira,pt POR,MF,tr Galatasaray,31,1992,5,129,26,23.9,1.4,0,,0,5,26,1,1.80,7,3,+4,+2.79,+4.32,3.7,2.5,+1.2,+0.81,+1.16,Matches
618,Mathías Olivera,uy URU,DF,it Napoli,25,1997,6,328,55,45.6,3.6,3,89,2,3,20,0,1.33,5,6,-1,-0.27,-0.27,5.4,5.3,0.0,+0.01,+0.27,Matches
619,Dani Olmo,es ESP,MF,de RB Leipzig,25,1998,3,181,60,25.1,2.0,2,83,1,1,16,0,1.33,2,2,0,0.00,-0.33,3.0,2.2,+0.9,+0.43,+0.32,Matches
620,André Onana,cm CMR,GK,eng Manchester Utd,27,1996,6,540,90,100.0,6.0,6,90,6,0,,0,0.67,12,15,-3,-0.50,,10.5,11.4,-0.9,-0.15,,Matches
621,Loïs Openda,be BEL,FW,de RB Leipzig,23,2000,8,553,69,76.8,6.1,7,77,1,1,17,0,1.63,10,7,+3,+0.49,+1.03,10.0,7.7,+2.2,+0.36,+0.74,Matches
622,Fredrik Oppegard,no NOR,FW,nl PSV Eindhoven,20,2002,1,1,1,0.1,0.0,0,,0,1,1,0,1.00,0,0,0,0.00,+0.50,0.0,0.4,-0.3,-30.01,-30.05,Matches
623,Willi Orban,hu HUN,DF,de RB Leipzig,30,1992,2,180,90,25.0,2.0,2,90,2,0,,0,0.50,1,2,-1,-0.50,-1.00,2.4,2.2,+0.2,+0.10,-0.12,Matches
624,Stefan Ortega,de GER,GK,eng Manchester City,30,1992,3,270,90,29.0,3.0,3,90,3,0,,7,2.33,9,7,+2,+0.67,-1.11,3.9,2.3,+1.6,+0.55,-1.64,Matches
625,Victor Osimhen,ng NGA,FW,it Napoli,24,1998,6,458,76,63.6,5.1,5,83,2,1,45,0,1.17,9,10,-1,-0.20,-0.20,6.9,8.9,-1.9,-0.38,-0.68,Matches
626,Nicolás Otamendi,ar ARG,DF,pt Benfica,35,1988,6,540,90,100.0,6.0,6,90,6,0,,0,0.67,7,11,-4,-0.67,,7.8,15.9,-8.1,-1.34,,Matches
627,Mikel Oyarzabal,es ESP,"FW,MF",es Real Sociedad,26,1997,7,585,84,81.3,6.5,7,84,3,0,,0,1.71,7,3,+4,+0.62,+1.95,8.6,4.3,+4.3,+0.67,+0.96,Matches
628,Salih Özcan,tr TUR,MF,de Dortmund,25,1998,9,443,49,37.9,4.9,4,85,3,5,21,4,2.00,8,1,+7,+1.42,+1.55,6.4,7.7,-1.3,-0.26,+0.37,Matches
629,Jon Pacheco,es ESP,DF,es Real Sociedad,22,2001,5,123,25,17.1,1.4,0,,0,5,25,2,1.00,1,1,0,0.00,-0.30,1.5,1.7,-0.2,-0.11,-0.73,Matches
630,Igor Paixão,br BRA,FW,nl Feyenoord,23,2000,6,397,66,73.5,4.4,6,66,1,0,,0,1.00,5,6,-1,-0.23,-0.23,7.1,5.5,+1.6,+0.35,-0.30,Matches
631,Yannick Pandor,km COM,GK,fr Lens,22,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
632,Ben Parkinson,eng ENG,FW,eng Newcastle Utd,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
633,Thomas Partey,gh GHA,MF,eng Arsenal,30,1993,1,5,5,0.5,0.1,0,,0,1,5,3,1.00,0,0,0,0.00,-1.07,0.0,0.5,-0.5,-9.01,-9.54,Matches
634,Patric,es ESP,DF,it Lazio,30,1993,5,370,74,51.4,4.1,4,90,4,1,10,1,2.60,6,2,+4,+0.97,+2.52,5.5,3.9,+1.7,+0.41,+1.12,Matches
635,Gabriel Paulista,br BRA,DF,es Atlético Madrid,32,1990,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
636,Benjamin Pavard,fr FRA,DF,it Inter,27,1996,5,480,96,64.0,5.3,5,96,5,0,,0,2.00,6,4,+2,+0.37,+0.04,10.5,5.5,+5.0,+1.01,+0.25,Matches
637,Aleksandar Pavlovic,de GER,MF,de Bayern Munich,19,2004,3,207,69,19.2,2.3,2,90,2,1,27,7,1.33,4,2,+2,+0.87,+0.25,4.0,3.8,+0.3,+0.12,-0.27,Matches
638,Strahinja Pavlović,rs SRB,DF,at RB Salzburg,22,2001,6,493,82,91.3,5.5,6,82,4,0,,0,0.67,4,8,-4,-0.73,-0.73,7.3,10.6,-3.3,-0.61,+0.57,Matches
639,Nicolás Paz,ar ARG,MF,es Real Madrid,18,2004,3,41,14,3.4,0.5,0,,0,3,14,1,3.00,2,0,+2,+4.39,+3.54,1.5,0.4,+1.1,+2.41,+1.91,Matches
