Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
34,Marco Asensio,es ESP,"FW,MF",es Real Madrid,22,1996,3.4,0,0,0,4,7,1,18,5,2,0,0,0,19,2,3,40.0,Matches
35,Roger Assalé,ci CIV,"FW,MF",ch Young Boys,24,1993,4.2,1,0,0,9,14,5,10,2,2,0,0,0,10,1,4,20.0,Matches
36,Serge Aurier,ci CIV,DF,eng Tottenham,25,1992,4.8,1,0,0,4,4,0,17,9,6,0,0,0,23,9,4,69.2,Matches
37,Chidozie Awaziem,ng NGA,MF,pt Porto,21,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
38,Serdar Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,3,0,0,9,4,0,0,3,4,0,0,0,15,12,8,60.0,Matches
39,Srđan Babić,rs SRB,DF,rs Red Star,22,1996,2.5,0,0,0,1,0,0,0,5,1,0,0,0,8,2,1,66.7,Matches
40,Benoît Badiashile,fr FRA,DF,fr Monaco,17,2001,2.0,0,0,0,2,0,0,0,0,2,0,0,0,14,1,0,100.0,Matches
41,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
42,Eric Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,1,0,0,3,6,0,0,5,3,0,0,0,22,5,4,55.6,Matches
43,Michalis Bakakis,gr GRE,"DF,FW",gr AEK Athens,27,1991,5.8,0,0,0,3,8,1,6,13,8,0,0,0,26,14,9,60.9,Matches
44,Anastasios Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,1,0,0,3,0,1,8,1,8,0,0,0,7,2,2,50.0,Matches
45,Keita Baldé,sn SEN,"FW,MF",it Inter,23,1995,0.8,0,0,0,0,3,0,4,0,0,0,0,0,1,2,3,40.0,Matches
46,Gareth Bale,wls WAL,FW,es Real Madrid,29,1989,5.4,0,0,0,3,3,3,13,5,0,0,0,0,10,12,6,66.7,Matches
47,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
48,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,1,0,0,8,2,0,0,10,4,0,0,0,16,11,9,55.0,Matches
49,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,Matches
50,Antonio Barreca,it ITA,DF,fr Monaco,23,1995,1.0,1,0,0,1,0,0,12,0,0,0,1,0,2,1,1,50.0,Matches
