Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
1005,Michael Gregoritsch,at AUT,"FW,MF",Hamburger SV,de Bundesliga,22,1994,14.5,,,,,,,,,,,,,,,,,Matches
1006,Clément Grenier,fr FRA,MF,Roma,it Serie A,25,1991,1.7,,,,,,,,,,,,,,,,,Matches
1007,Clément Grenier,fr FRA,MF,Lyon,fr Ligue 1,25,1991,0.4,,,,,,,,,,,,,,,,,Matches
1008,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,25,1991,33.9,,,,,,,,,,,,,,,,,Matches
1009,Vincenzo Grifo,it ITA,"FW,MF",Freiburg,de Bundesliga,23,1993,27.7,,,,,,,,,,,,,,,,,Matches
1010,Florian Grillitsch,at AUT,"DF,MF",Werder Bremen,de Bundesliga,20,1995,19.0,,,,,,,,,,,,,,,,,Matches
1011,Pascal Groß,de GER,"DF,FW",Ingolstadt 04,de Bundesliga,25,1991,30.2,,,,,,,,,,,,,,,,,Matches
1012,Kamil Grosicki,pl POL,"FW,MF",Hull City,eng Premier League,28,1988,12.7,,,,,,,,,,,,,,,,,Matches
1013,Kamil Grosicki,pl POL,"FW,MF",Rennes,fr Ligue 1,28,1988,11.0,,,,,,,,,,,,,,,,,Matches
1014,Marko Grujić,rs SRB,MF,Liverpool,eng Premier League,20,1996,0.5,,,,,,,,,,,,,,,,,Matches
1015,Karim Guédé,sk SVK,MF,Freiburg,de Bundesliga,31,1985,2.0,,,,,,,,,,,,,,,,,Matches
1016,Gonçalo Guedes,pt POR,"FW,MF",Paris S-G,fr Ligue 1,19,1996,1.6,,,,,,,,,,,,,,,,,Matches
1017,Adlène Guedioura,dz ALG,MF,Watford,eng Premier League,30,1985,8.0,,,,,,,,,,,,,,,,,Matches
1018,Adlène Guedioura,dz ALG,MF,Middlesbrough,eng Premier League,30,1985,1.6,,,,,,,,,,,,,,,,,Matches
1019,Mattéo Guendouzi,fr FRA,MF,Lorient,fr Ligue 1,17,1999,4.7,,,,,,,,,,,,,,,,,Matches
1020,Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,de Bundesliga,22,1993,16.5,,,,,,,,,,,,,,,,,Matches
1021,John Guidetti,se SWE,FW,Celta Vigo,es La Liga,24,1992,11.8,,,,,,,,,,,,,,,,,Matches
1022,Diallo Guidileye,mr MTN,MF,Nancy,fr Ligue 1,26,1989,19.4,,,,,,,,,,,,,,,,,Matches
1023,Josuha Guilavogui,fr FRA,"DF,MF",Wolfsburg,de Bundesliga,25,1990,17.1,,,,,,,,,,,,,,,,,Matches
1024,Frederic Guilbert,fr FRA,"DF,MF",Bordeaux,fr Ligue 1,21,1994,2.5,,,,,,,,,,,,,,,,,Matches
1025,Frederic Guilbert,fr FRA,"DF,MF",Caen,fr Ligue 1,21,1994,22.6,,,,,,,,,,,,,,,,,Matches
1026,Guilherme,br BRA,MF,La Coruña,es La Liga,25,1991,25.3,,,,,,,,,,,,,,,,,Matches
