Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
1434,Clément Lenglet,fr FRA,DF,Sevilla,es La Liga,21,1995,15.1,,,,,,,,,,,,,,,,,Matches
1435,Clément Lenglet,fr FRA,DF,Nancy,fr Ligue 1,21,1995,18.0,,,,,,,,,,,,,,,,,Matches
1436,Ermir Lenjani,al ALB,"DF,FW",Rennes,fr Ligue 1,26,1989,0.3,,,,,,,,,,,,,,,,,Matches
1437,Aaron Lennon,eng ENG,"FW,MF",Everton,eng Premier League,29,1987,5.7,,,,,,,,,,,,,,,,,Matches
1438,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,24,1992,34.0,,,,,,,,,,,,,,,,,Matches
1439,Jeremain Lens,nl NED,"FW,MF",Sunderland,eng Premier League,28,1987,0.8,,,,,,,,,,,,,,,,,Matches
1440,Pedro León,es ESP,"FW,MF",Eibar,es La Liga,29,1986,33.4,,,,,,,,,,,,,,,,,Matches
1441,Sergio León,es ESP,FW,Osasuna,es La Liga,27,1989,26.6,,,,,,,,,,,,,,,,,Matches
1442,Benjamin Leroy,fr FRA,GK,Dijon,fr Ligue 1,27,1989,1.0,,,,,,,,,,,,,,,,,Matches
1443,Joleon Lescott,eng ENG,DF,Sunderland,eng Premier League,33,1982,1.4,,,,,,,,,,,,,,,,,Matches
1444,Filip Lesniak,sk SVK,MF,Tottenham,eng Premier League,20,1996,0.1,,,,,,,,,,,,,,,,,Matches
1445,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,25,1990,6.0,,,,,,,,,,,,,,,,,Matches
1446,Timo Letschert,nl NED,"DF,MF",Sassuolo,it Serie A,23,1993,7.4,,,,,,,,,,,,,,,,,Matches
1447,Tobias Levels,de GER,DF,Ingolstadt 04,de Bundesliga,29,1986,8.0,,,,,,,,,,,,,,,,,Matches
1448,Dorian Lévêque,fr FRA,DF,Guingamp,fr Ligue 1,26,1989,1.8,,,,,,,,,,,,,,,,,Matches
1449,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,27,1988,30.8,,,,,,,,,,,,,,,,,Matches
1450,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,31,1985,23.5,,,,,,,,,,,,,,,,,Matches
1451,Stefan Lex,de GER,"FW,MF",Ingolstadt 04,de Bundesliga,26,1989,3.7,,,,,,,,,,,,,,,,,Matches
1452,Aaron Leya Iseka,be BEL,FW,Marseille,fr Ligue 1,18,1997,2.9,,,,,,,,,,,,,,,,,Matches
1453,Dario Lezcano,py PAR,"FW,MF",Ingolstadt 04,de Bundesliga,26,1990,27.9,,,,,,,,,,,,,,,,,Matches
1454,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,21,1995,0.6,,,,,,,,,,,,,,,,,Matches
1455,Stephan Lichtsteiner,ch SUI,"DF,MF",Juventus,it Serie A,32,1984,20.7,,,,,,,,,,,,,,,,,Matches
1456,Lillo,es ESP,DF,Sporting Gijón,es La Liga,27,1989,23.7,,,,,,,,,,,,,,,,,Matches
1457,Lucas Lima,br BRA,DF,Nantes,fr Ligue 1,24,1991,37.6,,,,,,,,,,,,,,,,,Matches
1458,Heinz Lindner,at AUT,GK,Eint Frankfurt,de Bundesliga,26,1990,1.9,,,,,,,,,,,,,,,,,Matches
1459,Karol Linetty,pl POL,MF,Sampdoria,it Serie A,21,1995,26.5,,,,,,,,,,,,,,,,,Matches
1460,Jesse Lingard,eng ENG,"FW,MF",Manchester Utd,eng Premier League,23,1992,15.1,,,,,,,,,,,,,,,,,Matches
1461,Pol Lirola,es ESP,"DF,MF",Sassuolo,it Serie A,18,1997,17.2,,,,,,,,,,,,,,,,,Matches
1462,Marko Livaja,hr CRO,"FW,MF",Las Palmas,es La Liga,22,1993,16.0,,,,,,,,,,,,,,,,,Matches
1463,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,26,1989,14.5,,,,,,,,,,,,,,,,,Matches
1464,Jake Livermore,eng ENG,MF,Hull City,eng Premier League,26,1989,18.6,,,,,,,,,,,,,,,,,Matches
1465,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,25,1991,13.0,,,,,,,,,,,,,,,,,Matches
1466,Adem Ljajić,rs SRB,"FW,MF",Torino,it Serie A,24,1991,27.9,,,,,,,,,,,,,,,,,Matches
1467,Diego Llorente,es ESP,DF,Málaga,es La Liga,22,1993,22.5,,,,,,,,,,,,,,,,,Matches
1468,Fernando Llorente,es ESP,FW,Swansea City,eng Premier League,31,1985,27.1,,,,,,,,,,,,,,,,,Matches
1469,Marcos Llorente,es ESP,"DF,FW",Alavés,es La Liga,21,1995,31.2,,,,,,,,,,,,,,,,,Matches
1470,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,29,1986,33.4,,,,,,,,,,,,,,,,,Matches
1471,Alexandre Llovet,fr FRA,FW,Montpellier,fr Ligue 1,18,1997,0.2,,,,,,,,,,,,,,,,,Matches
1472,Giovani Lo Celso,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,20,1996,0.9,,,,,,,,,,,,,,,,,Matches
1473,Simone Lo Faso,it ITA,FW,Palermo,it Serie A,18,1998,2.8,,,,,,,,,,,,,,,,,Matches
1474,Manuel Locatelli,it ITA,MF,Milan,it Serie A,18,1998,18.8,,,,,,,,,,,,,,,,,Matches
1475,Francesco Lodi,it ITA,MF,Udinese,it Serie A,32,1984,0.1,,,,,,,,,,,,,,,,,Matches
1476,Raoul Loé,cm CMR,MF,Osasuna,es La Liga,27,1989,6.3,,,,,,,,,,,,,,,,,Matches
1477,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,eng Premier League,20,1996,0.4,,,,,,,,,,,,,,,,,Matches
1478,David Lombán,es ESP,DF,Granada,es La Liga,29,1987,20.5,,,,,,,,,,,,,,,,,Matches
1479,Cristiano Lombardi,it ITA,"FW,MF",Lazio,it Serie A,20,1995,4.9,,,,,,,,,,,,,,,,,Matches
1480,Kevin Long,ie IRL,DF,Burnley,eng Premier League,25,1990,3.0,,,,,,,,,,,,,,,,,Matches
1481,Shane Long,ie IRL,FW,Southampton,eng Premier League,29,1987,14.0,,,,,,,,,,,,,,,,,Matches
1482,Ademola Lookman,ng NGA,"FW,MF",Everton,eng Premier League,18,1997,3.2,,,,,,,,,,,,,,,,,Matches
1483,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,25,1990,37.0,,,,,,,,,,,,,,,,,Matches
1484,Hélder Lopes,pt POR,"DF,MF",Las Palmas,es La Liga,27,1989,13.6,,,,,,,,,,,,,,,,,Matches
1485,Rony Lopes,pt POR,"FW,MF",Lille,fr Ligue 1,20,1995,20.7,,,,,,,,,,,,,,,,,Matches
1486,Adrián López,es ESP,FW,Villarreal,es La Liga,28,1988,7.5,,,,,,,,,,,,,,,,,Matches
1487,David López,es ESP,"DF,MF",Espanyol,es La Liga,26,1989,36.0,,,,,,,,,,,,,,,,,Matches
1488,Diego López,es ESP,GK,Espanyol,es La Liga,34,1981,34.6,,,,,,,,,,,,,,,,,Matches
1489,Isma López,es ESP,"DF,FW",Sporting Gijón,es La Liga,26,1990,19.2,,,,,,,,,,,,,,,,,Matches
1490,Javi López,es ESP,"DF,MF",Espanyol,es La Liga,30,1986,16.9,,,,,,,,,,,,,,,,,Matches
1491,Maxi López,ar ARG,FW,Torino,it Serie A,32,1984,4.9,,,,,,,,,,,,,,,,,Matches
1492,Maxime Lopez,fr FRA,MF,Marseille,fr Ligue 1,18,1997,24.1,,,,,,,,,,,,,,,,,Matches
1493,Unai López,es ESP,MF,Leganés,es La Liga,20,1995,13.0,,,,,,,,,,,,,,,,,Matches
1494,Alberto Lora,es ESP,"DF,MF",Sporting Gijón,es La Liga,29,1987,4.2,,,,,,,,,,,,,,,,,Matches
1495,Jonas Lössl,dk DEN,GK,Mainz 05,de Bundesliga,27,1989,27.0,,,,,,,,,,,,,,,,,Matches
1496,Jordan Lotiès,fr FRA,DF,Dijon,fr Ligue 1,31,1984,22.7,,,,,,,,,,,,,,,,,Matches
1497,Jeff Louis,ht HAI,MF,Caen,fr Ligue 1,23,1992,2.6,,,,,,,,,,,,,,,,,Matches
1498,Donald Love,sct SCO,"DF,MF",Sunderland,eng Premier League,21,1994,6.8,,,,,,,,,,,,,,,,,Matches
1499,Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,27,1989,28.4,,,,,,,,,,,,,,,,,Matches
1500,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,27,1989,36.0,,,,,,,,,,,,,,,,,Matches
1501,Luciano,br BRA,"FW,MF",Leganés,es La Liga,23,1993,13.1,,,,,,,,,,,,,,,,,Matches
1502,Filipe Luís,br BRA,DF,Atlético Madrid,es La Liga,30,1985,33.4,,,,,,,,,,,,,,,,,Matches
1503,José Luis Gayà,es ESP,"DF,MF",Valencia,es La Liga,21,1995,23.2,,,,,,,,,,,,,,,,,Matches
1504,Luisinho,pt POR,DF,La Coruña,es La Liga,31,1985,21.2,,,,,,,,,,,,,,,,,Matches
1505,David Luiz,br BRA,"DF,MF",Chelsea,eng Premier League,29,1987,32.8,,,,,,,,,,,,,,,,,Matches
1506,David Luiz,br BRA,"DF,MF",Paris S-G,fr Ligue 1,29,1987,2.7,,,,,,,,,,,,,,,,,Matches
1507,Jordan Lukaku,be BEL,"DF,MF",Lazio,it Serie A,22,1994,9.5,,,,,,,,,,,,,,,,,Matches
1508,Romelu Lukaku,be BEL,FW,Everton,eng Premier League,23,1993,36.3,,,,,,,,,,,,,,,,,Matches
1509,Dodi Lukebakio,be BEL,"FW,MF",Toulouse,fr Ligue 1,18,1997,1.0,,,,,,,,,,,,,,,,,Matches
1510,Saša Lukić,rs SRB,MF,Torino,it Serie A,19,1996,8.6,,,,,,,,,,,,,,,,,Matches
1511,Senad Lulić,ba BIH,"DF,MF",Lazio,it Serie A,30,1986,27.6,,,,,,,,,,,,,,,,,Matches
1512,Antonio Luna,es ESP,DF,Eibar,es La Liga,25,1991,23.5,,,,,,,,,,,,,,,,,Matches
1513,Arnaud Lusamba,cd COD,MF,Nice,fr Ligue 1,19,1997,2.8,,,,,,,,,,,,,,,,,Matches
1514,Fabian Lustenberger,ch SUI,"DF,MF",Hertha BSC,de Bundesliga,28,1988,16.7,,,,,,,,,,,,,,,,,Matches
1515,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,29,1987,2.0,,,,,,,,,,,,,,,,,Matches
1516,Germán Lux,ar ARG,GK,La Coruña,es La Liga,34,1982,24.5,,,,,,,,,,,,,,,,,Matches
1517,Cheikh M'Bengue,sn SEN,DF,Saint-Étienne,fr Ligue 1,28,1988,13.1,,,,,,,,,,,,,,,,,Matches
1518,Massimo Maccarone,it ITA,FW,Empoli,it Serie A,36,1979,16.8,,,,,,,,,,,,,,,,,Matches
1519,Zinédine Machach,fr FRA,"FW,MF",Marseille,fr Ligue 1,20,1996,4.6,,,,,,,,,,,,,,,,,Matches
1520,Darwin Machís,ve VEN,"FW,MF",Leganés,es La Liga,23,1993,11.8,,,,,,,,,,,,,,,,,Matches
1521,Gabriel Magalhães,br BRA,DF,Lille,fr Ligue 1,18,1997,0.1,,,,,,,,,,,,,,,,,Matches
1522,Christian Maggio,it ITA,"DF,MF",Napoli,it Serie A,34,1982,4.4,,,,,,,,,,,,,,,,,Matches
1523,Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,31,1984,13.3,,,,,,,,,,,,,,,,,Matches
1524,Harry Maguire,eng ENG,DF,Hull City,eng Premier League,23,1993,25.6,,,,,,,,,,,,,,,,,Matches
1525,Hicham Mahou,fr FRA,"FW,MF",Nice,fr Ligue 1,17,1999,0.2,,,,,,,,,,,,,,,,,Matches
1526,Riyad Mahrez,dz ALG,"FW,MF",Leicester City,eng Premier League,25,1991,31.4,,,,,,,,,,,,,,,,,Matches
1527,Raffaele Maiello,it ITA,MF,Empoli,it Serie A,25,1991,0.7,,,,,,,,,,,,,,,,,Matches
1528,Arne Maier,de GER,MF,Hertha BSC,de Bundesliga,17,1999,0.0,,,,,,,,,,,,,,,,,Matches
1529,Domenico Maietta,it ITA,DF,Bologna,it Serie A,33,1982,26.4,,,,,,,,,,,,,,,,,Matches
1530,Habib Maïga,ci CIV,MF,Saint-Étienne,fr Ligue 1,20,1996,3.3,,,,,,,,,,,,,,,,,Matches
1531,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,21,1995,6.3,,,,,,,,,,,,,,,,,Matches
1532,Anthony Maisonnial,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,1998,1.9,,,,,,,,,,,,,,,,,Matches
1533,Ainsley Maitland-Niles,eng ENG,"DF,FW",Arsenal,eng Premier League,18,1997,0.0,,,,,,,,,,,,,,,,,Matches
1534,Abdul Majeed Waris,gh GHA,"FW,MF",Lorient,fr Ligue 1,24,1991,31.6,,,,,,,,,,,,,,,,,Matches
1535,Jean-Victor Makengo,fr FRA,MF,Caen,fr Ligue 1,18,1998,9.7,,,,,,,,,,,,,,,,,Matches
1536,Nikola Maksimović,rs SRB,DF,Napoli,it Serie A,24,1991,7.5,,,,,,,,,,,,,,,,,Matches
1537,Steed Malbranque,fr FRA,MF,Caen,fr Ligue 1,36,1980,4.1,,,,,,,,,,,,,,,,,Matches
1538,Malcom,br BRA,"FW,MF",Bordeaux,fr Ligue 1,19,1997,30.3,,,,,,,,,,,,,,,,,Matches
1539,Kévin Malcuit,ma MAR,"DF,FW",Saint-Étienne,fr Ligue 1,25,1991,23.2,,,,,,,,,,,,,,,,,Matches
1540,Aly Mallé,ml MLI,FW,Granada,es La Liga,18,1998,5.6,,,,,,,,,,,,,,,,,Matches
1541,Yunus Mallı,tr TUR,"FW,MF",Wolfsburg,de Bundesliga,24,1992,13.1,,,,,,,,,,,,,,,,,Matches
1542,Yunus Mallı,tr TUR,"FW,MF",Mainz 05,de Bundesliga,24,1992,15.3,,,,,,,,,,,,,,,,,Matches
1543,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,25,1991,22.1,,,,,,,,,,,,,,,,,Matches
1544,Shaun Maloney,sct SCO,"FW,MF",Hull City,eng Premier League,33,1983,3.1,,,,,,,,,,,,,,,,,Matches
1545,Emanuel Mammana,ar ARG,DF,Lyon,fr Ligue 1,20,1996,16.8,,,,,,,,,,,,,,,,,Matches
1546,Rey Manaj,al ALB,FW,Pescara,it Serie A,19,1997,5.3,,,,,,,,,,,,,,,,,Matches
1547,Vincent Manceau,fr FRA,"DF,MF",Angers,fr Ligue 1,27,1989,31.8,,,,,,,,,,,,,,,,,Matches
1548,Steve Mandanda,fr FRA,GK,Crystal Palace,eng Premier League,31,1985,9.0,,,,,,,,,,,,,,,,,Matches
1549,Christophe Mandanne,fr FRA,"FW,MF",Nancy,fr Ligue 1,31,1985,10.4,,,,,,,,,,,,,,,,,Matches
1550,Aïssa Mandi,dz ALG,DF,Betis,es La Liga,24,1991,24.6,,,,,,,,,,,,,,,,,Matches
1551,Georges Mandjeck,cm CMR,"DF,MF",Metz,fr Ligue 1,27,1988,26.0,,,,,,,,,,,,,,,,,Matches
1552,Rolando Mandragora,it ITA,MF,Juventus,it Serie A,19,1997,0.1,,,,,,,,,,,,,,,,,Matches
1553,Mario Mandžukić,hr CRO,"FW,MF",Juventus,it Serie A,30,1986,27.6,,,,,,,,,,,,,,,,,Matches
1554,Alexis Mané,sn SEN,MF,Guingamp,fr Ligue 1,19,1997,0.5,,,,,,,,,,,,,,,,,Matches
1555,Sadio Mané,sn SEN,"FW,MF",Liverpool,eng Premier League,24,1992,24.8,,,,,,,,,,,,,,,,,Matches
1556,Eliaquim Mangala,fr FRA,DF,Valencia,es La Liga,25,1991,29.4,,,,,,,,,,,,,,,,,Matches
1557,Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,29,1987,31.6,,,,,,,,,,,,,,,,,Matches
1558,Ousman Manneh,gm GAM,FW,Werder Bremen,de Bundesliga,19,1997,5.4,,,,,,,,,,,,,,,,,Matches
1559,Vito Mannone,it ITA,GK,Sunderland,eng Premier League,28,1988,9.0,,,,,,,,,,,,,,,,,Matches
1560,Kostas Manolas,gr GRE,DF,Roma,it Serie A,25,1991,30.8,,,,,,,,,,,,,,,,,Matches
1561,Javier Manquillo,es ESP,DF,Sunderland,eng Premier League,22,1994,15.9,,,,,,,,,,,,,,,,,Matches
1562,Martín Mantovani,ar ARG,DF,Leganés,es La Liga,32,1984,30.0,,,,,,,,,,,,,,,,,Matches
1563,José Manuel Jurado,es ESP,MF,Espanyol,es La Liga,30,1986,27.3,,,,,,,,,,,,,,,,,Matches
1564,Faitout Maouassa,fr FRA,"DF,MF",Nancy,fr Ligue 1,18,1998,11.5,,,,,,,,,,,,,,,,,Matches
1565,Mohamed Mara,gn GUI,FW,Lorient,fr Ligue 1,19,1996,7.0,,,,,,,,,,,,,,,,,Matches
1566,Florian Marange,fr FRA,DF,Bastia,fr Ligue 1,30,1986,16.1,,,,,,,,,,,,,,,,,Matches
1567,Fernando Marçal,br BRA,"DF,MF",Guingamp,fr Ligue 1,27,1989,29.9,,,,,,,,,,,,,,,,,Matches
1568,Vincent Marcel,fr FRA,MF,Nice,fr Ligue 1,19,1997,2.6,,,,,,,,,,,,,,,,,Matches
1569,Marcelo,br BRA,"DF,MF",Real Madrid,es La Liga,28,1988,25.3,,,,,,,,,,,,,,,,,Matches
1570,Giovanni Marchese,it ITA,DF,Genoa,it Serie A,31,1984,0.1,,,,,,,,,,,,,,,,,Matches
1571,Federico Marchetti,it ITA,GK,Lazio,it Serie A,33,1983,16.5,,,,,,,,,,,,,,,,,Matches
1572,Vincent Marchetti,fr FRA,"DF,MF",Nancy,fr Ligue 1,19,1997,10.9,,,,,,,,,,,,,,,,,Matches
1573,Claudio Marchisio,it ITA,MF,Juventus,it Serie A,30,1986,13.9,,,,,,,,,,,,,,,,,Matches
1574,Gian Marco Ferrari,it ITA,DF,Crotone,it Serie A,24,1992,37.0,,,,,,,,,,,,,,,,,Matches
1575,Óscar de Marcos,es ESP,"DF,FW",Athletic Club,es La Liga,27,1989,23.9,,,,,,,,,,,,,,,,,Matches
1576,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,21,1995,11.3,,,,,,,,,,,,,,,,,Matches
1577,Mariano,br BRA,"DF,MF",Sevilla,es La Liga,30,1986,29.4,,,,,,,,,,,,,,,,,Matches
1578,Mariano,do DOM,FW,Real Madrid,es La Liga,22,1993,1.4,,,,,,,,,,,,,,,,,Matches
1579,Adrian Mariappa,jm JAM,DF,Watford,eng Premier League,29,1986,6.2,,,,,,,,,,,,,,,,,Matches
1580,Jordan Marié,fr FRA,MF,Dijon,fr Ligue 1,24,1991,16.0,,,,,,,,,,,,,,,,,Matches
1581,Guido Marilungo,it ITA,FW,Empoli,it Serie A,26,1989,10.5,,,,,,,,,,,,,,,,,Matches
1582,Adrián Marín,es ESP,DF,Leganés,es La Liga,19,1997,10.1,,,,,,,,,,,,,,,,,Matches
1583,Diego Mariño,es ESP,GK,Sporting Gijón,es La Liga,26,1990,2.0,,,,,,,,,,,,,,,,,Matches
1584,João Mário,pt POR,"FW,MF",Inter,it Serie A,23,1993,22.3,,,,,,,,,,,,,,,,,Matches
1585,Lazar Marković,rs SRB,"FW,MF",Hull City,eng Premier League,22,1994,11.2,,,,,,,,,,,,,,,,,Matches
1586,Marlon,br BRA,"DF,MF",Barcelona,es La Liga,20,1995,2.0,,,,,,,,,,,,,,,,,Matches
1587,Dean Marney,eng ENG,MF,Burnley,eng Premier League,32,1984,19.6,,,,,,,,,,,,,,,,,Matches
1588,Dominic Maroh,si SVN,DF,Köln,de Bundesliga,29,1987,7.2,,,,,,,,,,,,,,,,,Matches
1589,Iván Márquez,es ESP,DF,Osasuna,es La Liga,22,1994,4.0,,,,,,,,,,,,,,,,,Matches
1590,Javi Márquez,es ESP,MF,Granada,es La Liga,30,1986,4.4,,,,,,,,,,,,,,,,,Matches
1591,Marquinhos,br BRA,"DF,MF",Paris S-G,fr Ligue 1,22,1994,27.8,,,,,,,,,,,,,,,,,Matches
1592,David Marshall,sct SCO,GK,Hull City,eng Premier League,31,1985,16.0,,,,,,,,,,,,,,,,,Matches
1593,Bruno Martella,it ITA,"DF,MF",Crotone,it Serie A,23,1992,25.8,,,,,,,,,,,,,,,,,Matches
1594,Anthony Martial,fr FRA,"FW,MF",Manchester Utd,eng Premier League,20,1995,17.3,,,,,,,,,,,,,,,,,Matches
1595,Aarón Martín,es ESP,"DF,MF",Espanyol,es La Liga,19,1997,28.7,,,,,,,,,,,,,,,,,Matches
1596,Alberto Martín,es ESP,MF,Leganés,es La Liga,27,1989,13.2,,,,,,,,,,,,,,,,,Matches
1597,Jonas Martin,fr FRA,"DF,MF",Betis,es La Liga,26,1990,12.8,,,,,,,,,,,,,,,,,Matches
1598,Marvin Martin,fr FRA,MF,Dijon,fr Ligue 1,28,1988,5.5,,,,,,,,,,,,,,,,,Matches
1599,Cuco Martina,cw CUW,"DF,MF",Southampton,eng Premier League,26,1989,6.6,,,,,,,,,,,,,,,,,Matches
1600,Álex Martínez,es ESP,"DF,MF",Betis,es La Liga,25,1990,10.7,,,,,,,,,,,,,,,,,Matches
1601,Carlos Martínez,es ESP,DF,Real Sociedad,es La Liga,30,1986,9.7,,,,,,,,,,,,,,,,,Matches
1602,Emiliano Martínez,ar ARG,GK,Arsenal,eng Premier League,23,1992,2.0,,,,,,,,,,,,,,,,,Matches
1603,Iñigo Martínez,es ESP,DF,Real Sociedad,es La Liga,25,1991,33.3,,,,,,,,,,,,,,,,,Matches
1604,Javi Martínez,es ESP,"DF,MF",Bayern Munich,de Bundesliga,27,1988,23.7,,,,,,,,,,,,,,,,,Matches
1605,Josef Martínez,ve VEN,FW,Torino,it Serie A,23,1993,5.9,,,,,,,,,,,,,,,,,Matches
1606,Pablo Martinez,fr FRA,DF,Angers,fr Ligue 1,27,1989,6.9,,,,,,,,,,,,,,,,,Matches
1607,Bruno Martins Indi,nl NED,DF,Stoke City,eng Premier League,24,1992,35.0,,,,,,,,,,,,,,,,,Matches
1608,Luís Martins,pt POR,DF,Granada,es La Liga,24,1992,0.8,,,,,,,,,,,,,,,,,Matches
1609,Jonathan Martins Pereira,fr FRA,DF,Guingamp,fr Ligue 1,30,1986,11.2,,,,,,,,,,,,,,,,,Matches
1610,Joris Marveaux,mq MTQ,MF,Montpellier,fr Ligue 1,33,1982,4.1,,,,,,,,,,,,,,,,,Matches
1611,Sylvain Marveaux,fr FRA,"FW,MF",Lorient,fr Ligue 1,30,1986,21.2,,,,,,,,,,,,,,,,,Matches
1612,Omar Mascarell,gq EQG,MF,Eint Frankfurt,de Bundesliga,23,1993,27.2,,,,,,,,,,,,,,,,,Matches
1613,Javier Mascherano,ar ARG,"DF,MF",Barcelona,es La Liga,32,1984,21.3,,,,,,,,,,,,,,,,,Matches
1614,Andrea Masiello,it ITA,DF,Atalanta,it Serie A,30,1986,32.5,,,,,,,,,,,,,,,,,Matches
1615,Adam Masina,ma MAR,DF,Bologna,it Serie A,22,1994,27.0,,,,,,,,,,,,,,,,,Matches
1616,Brandon Mason,eng ENG,"DF,MF",Watford,eng Premier League,18,1997,1.3,,,,,,,,,,,,,,,,,Matches
1617,Ryan Mason,eng ENG,MF,Hull City,eng Premier League,25,1991,10.3,,,,,,,,,,,,,,,,,Matches
1618,Arthur Masuaku,cd COD,"DF,MF",West Ham,eng Premier League,22,1993,10.8,,,,,,,,,,,,,,,,,Matches
1619,Juan Mata,es ESP,"FW,MF",Manchester Utd,eng Premier League,28,1988,17.9,,,,,,,,,,,,,,,,,Matches
1620,Jean-Philippe Mateta,fr FRA,FW,Lyon,fr Ligue 1,19,1997,1.0,,,,,,,,,,,,,,,,,Matches
1621,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,24,1992,14.0,,,,,,,,,,,,,,,,,Matches
1622,Jérémy Mathieu,fr FRA,DF,Barcelona,es La Liga,32,1983,11.5,,,,,,,,,,,,,,,,,Matches
1623,Boris Mathis,fr FRA,FW,Metz,fr Ligue 1,18,1997,0.2,,,,,,,,,,,,,,,,,Matches
1624,Nemanja Matić,rs SRB,MF,Chelsea,eng Premier League,27,1988,29.9,,,,,,,,,,,,,,,,,Matches
1625,Joël Matip,cm CMR,"DF,MF",Liverpool,eng Premier League,24,1991,27.3,,,,,,,,,,,,,,,,,Matches
1626,Marvin Matip,cm CMR,"DF,MF",Ingolstadt 04,de Bundesliga,30,1985,33.0,,,,,,,,,,,,,,,,,Matches
1627,Ryder Matos,br BRA,"FW,MF",Udinese,it Serie A,23,1993,6.2,,,,,,,,,,,,,,,,,Matches
1628,Alessandro Matri,it ITA,FW,Sassuolo,it Serie A,31,1984,16.2,,,,,,,,,,,,,,,,,Matches
1629,Blaise Matuidi,fr FRA,MF,Paris S-G,fr Ligue 1,29,1987,26.8,,,,,,,,,,,,,,,,,Matches
1630,José Mauri,it ITA,MF,Empoli,it Serie A,20,1996,9.7,,,,,,,,,,,,,,,,,Matches
1631,Mërgim Mavraj,al ALB,DF,Hamburger SV,de Bundesliga,30,1986,14.0,,,,,,,,,,,,,,,,,Matches
1632,Mërgim Mavraj,al ALB,DF,Köln,de Bundesliga,30,1986,16.0,,,,,,,,,,,,,,,,,Matches
1633,Rio Mavuba,fr FRA,MF,Lille,fr Ligue 1,32,1984,12.4,,,,,,,,,,,,,,,,,Matches
1634,Alfie Mawson,eng ENG,DF,Swansea City,eng Premier League,22,1994,27.0,,,,,,,,,,,,,,,,,Matches
1635,Philipp Max,de GER,"DF,MF",Augsburg,de Bundesliga,22,1993,20.1,,,,,,,,,,,,,,,,,Matches
1636,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Schalke 04,de Bundesliga,27,1989,18.7,,,,,,,,,,,,,,,,,Matches
1637,Maxwell,br BRA,DF,Paris S-G,fr Ligue 1,34,1981,19.0,,,,,,,,,,,,,,,,,Matches
1638,Borja Mayoral,es ESP,FW,Wolfsburg,de Bundesliga,19,1997,4.3,,,,,,,,,,,,,,,,,Matches
1639,Youssef Maziz,fr FRA,"FW,MF",Metz,fr Ligue 1,18,1998,0.2,,,,,,,,,,,,,,,,,Matches
1640,Luca Mazzitelli,it ITA,"DF,MF",Sassuolo,it Serie A,20,1995,11.6,,,,,,,,,,,,,,,,,Matches
1641,Kylian Mbappé,fr FRA,"FW,MF",Monaco,fr Ligue 1,17,1998,16.6,,,,,,,,,,,,,,,,,Matches
1642,Ibrahima Mbaye,sn SEN,"DF,MF",Bologna,it Serie A,21,1994,11.9,,,,,,,,,,,,,,,,,Matches
1643,Isaac Mbenza,be BEL,"FW,MF",Montpellier,fr Ligue 1,20,1996,10.5,,,,,,,,,,,,,,,,,Matches
1644,Dieumerci Mbokani,cd COD,FW,Hull City,eng Premier League,30,1985,8.5,,,,,,,,,,,,,,,,,Matches
1645,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,28,1987,22.2,,,,,,,,,,,,,,,,,Matches
1646,Gareth McAuley,nir NIR,DF,West Brom,eng Premier League,36,1979,34.9,,,,,,,,,,,,,,,,,Matches
1647,Oliver McBurnie,sct SCO,FW,Swansea City,eng Premier League,20,1996,0.9,,,,,,,,,,,,,,,,,Matches
1648,James McCarthy,ie IRL,MF,Everton,eng Premier League,25,1990,6.8,,,,,,,,,,,,,,,,,Matches
1649,James McClean,ie IRL,"DF,FW",West Brom,eng Premier League,27,1989,16.4,,,,,,,,,,,,,,,,,Matches
