Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
259,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,29,1988,8,566,71,16.5,6.3,6,89,5,2,16,5,1.38,3,5,-2,-0.32,-0.54,7.9,7.2,+0.7,+0.12,-0.10,Matches
260,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,de Bundesliga,20,1996,7,118,17,3.9,1.3,0,,0,7,,2,1.14,3,3,0,0.00,+0.31,2.3,2.0,+0.3,+0.21,+0.55,Matches
261,Hervé Bazile,ht HAI,"MF,FW",Caen,fr Ligue 1,27,1990,19,876,46,25.6,9.7,10,67,1,9,23,3,1.00,7,12,-5,-0.51,+0.19,11.1,13.8,-2.7,-0.28,-0.19,Matches
262,Riechedly Bazoer,nl NED,MF,Wolfsburg,de Bundesliga,20,1996,13,592,46,19.3,6.6,6,,2,7,,10,1.00,2,12,-10,-1.52,-1.45,5.0,8.6,-3.6,-0.55,-0.03,Matches
263,Enrico Bearzotti,it ITA,"DF,FW",Hellas Verona,it Serie A,20,1996,6,410,68,12.0,4.6,4,,3,2,,31,0.17,3,11,-8,-1.76,-0.56,3.6,8.1,-4.5,-1.00,-0.02,Matches
264,Claudio Beauvue,gp GLP,FW,Leganés,es La Liga,29,1988,28,1672,60,48.9,18.6,17,85,9,11,21,4,0.93,13,25,-12,-0.65,-0.39,18.1,22.1,-4.0,-0.22,-0.03,Matches
265,Claudio Beauvue,gp GLP,"FW,MF",Celta Vigo,es La Liga,29,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
266,Bebé,cv CPV,"MF,FW",Eibar,es La Liga,27,1990,9,365,41,10.7,4.1,3,74,1,6,24,10,1.00,6,6,0,0.00,+0.18,5.2,3.7,+1.6,+0.39,+0.54,Matches
267,Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,de Bundesliga,23,1994,30,2140,71,69.9,23.8,20,,12,10,,0,1.10,38,37,+1,+0.04,+1.12,37.0,34.4,+2.5,+0.11,+1.43,Matches
268,Andreas Beck,de GER,DF,Stuttgart,de Bundesliga,30,1987,23,1927,84,63.0,21.4,22,,16,1,,4,1.39,20,23,-3,-0.14,-0.38,25.0,21.4,+3.6,+0.17,+0.70,Matches
