Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
25,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,23,1997,4,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,10,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
26,Benjamin André,fr FRA,MF,fr Lille,30,1990,7,7,630,7.0,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.7,5,43,16,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
27,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,27,1994,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
28,Angeliño,es ESP,DF,de RB Leipzig,24,1997,5,5,430,4.8,0,3,3,0,0,0,2,1,0.3,0.3,1.3,1.6,10,14,32,0.00,0.63,0.63,0.00,0.63,0.06,0.28,0.33,0.06,0.33,Matches
29,Marcos Antônio,br BRA,MF,ua Shakhtar,21,2000,5,2,256,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,15,8,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
30,Antony,br BRA,FW,nl Ajax,21,2000,7,7,574,6.4,2,5,7,2,0,0,1,0,1.9,1.9,2.1,4.1,33,39,92,0.31,0.78,1.10,0.31,1.10,0.30,0.33,0.64,0.30,0.64,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,22,1999,5,4,367,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,6,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
32,Danilo Arboleda,co COL,DF,md Sheriff Tiraspol,26,1995,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
33,Maximilian Arnold,de GER,MF,de Wolfsburg,27,1994,6,6,540,6.0,0,3,3,0,0,0,3,0,0.2,0.2,1.2,1.4,4,19,2,0.00,0.50,0.50,0.00,0.50,0.03,0.20,0.23,0.03,0.23,Matches
34,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,26,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Marco Asensio,es ESP,"FW,MF",es Real Madrid,25,1996,8,2,209,2.3,1,2,3,1,0,0,0,0,0.7,0.7,0.4,1.2,2,7,14,0.43,0.86,1.29,0.43,1.29,0.36,0.22,0.58,0.36,0.58,Matches
