Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
378,Koke,es ESP,MF,es Atlético Madrid,22,1992,9,833,93,89.6,9.3,9,,8,0,,0,1.89,15,4,+11,+1.19,+2.12,Matches
379,Aleksandar Kolarov,rs SRB,DF,eng Manchester City,28,1985,4,183,46,25.4,2.0,2,,2,2,,1,1.00,2,4,-2,-0.98,-1.15,Matches
380,Vincent Kompany,be BEL,DF,eng Manchester City,28,1986,7,630,90,87.5,7.0,7,,7,0,,0,0.71,8,11,-3,-0.43,-2.43,Matches
381,Pa Konate,gn GUI,DF,se Malmö,20,1994,3,147,49,27.2,1.6,2,,1,1,,3,0.75,0,4,-4,-2.45,-1.53,Matches
382,Geoffrey Kondogbia,cf CTA,"DF,MF",fr Monaco,21,1993,8,716,90,79.6,8.0,8,,6,0,,1,1.13,4,5,-1,-0.13,-1.59,Matches
383,Laurent Koscielny,fr FRA,DF,eng Arsenal,28,1985,4,360,90,50.0,4.0,4,,4,0,,1,1.67,7,6,+1,+0.25,-1.50,Matches
384,Viktor Kovalenko,ua UKR,MF,ua Shakhtar,18,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
385,Dario Krešić,hr CRO,GK,de Leverkusen,30,1984,0,,,,,0,,0,0,,8,,,,,,,Matches
386,Simon Kroon,se SWE,MF,se Malmö,21,1993,4,100,25,18.5,1.1,0,,0,4,,1,1.00,2,7,-5,-4.50,-3.89,Matches
387,Toni Kroos,de GER,MF,es Real Madrid,24,1990,12,968,81,89.6,10.8,11,,9,1,,0,2.17,21,8,+13,+1.21,-0.40,Matches
388,Robbie Kruse,au AUS,"FW,MF",de Leverkusen,25,1988,2,46,23,6.1,0.5,1,,0,1,,2,2.00,0,0,0,0.00,-1.02,Matches
389,Serhiy Kryvtsov,ua UKR,DF,ua Shakhtar,23,1991,2,171,86,23.8,1.9,1,,1,1,,3,0.50,1,7,-6,-3.16,-4.80,Matches
390,Oleksandr Kucher,ua UKR,DF,ua Shakhtar,31,1982,6,453,76,62.9,5.0,6,,5,0,,0,1.00,9,4,+5,+0.99,+1.33,Matches
391,Mulopo Kudimbana,cd COD,GK,be Anderlecht,27,1987,0,,,,,0,,0,0,,1,,,,,,,Matches
392,Sinan Kurt,de GER,MF,de Bayern Munich,18,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
393,Yekta Kurtuluş,tr TUR,MF,tr Galatasaray,28,1985,1,46,46,8.5,0.5,1,,0,0,,4,0.00,0,3,-3,-5.87,-3.68,Matches
394,Layvin Kurzawa,fr FRA,DF,fr Monaco,21,1992,8,638,80,70.9,7.1,7,,7,1,,0,1.13,2,5,-3,-0.42,-2.14,Matches
395,Philipp Lahm,de GER,"DF,MF",de Bayern Munich,30,1983,8,696,87,64.4,7.7,8,,6,0,,1,2.25,20,10,+10,+1.29,-1.05,Matches
396,Adam Lallana,eng ENG,"FW,MF",eng Liverpool,26,1988,4,221,55,40.9,2.5,2,,1,2,,2,0.75,0,1,-1,-0.41,+0.44,Matches
397,Rickie Lambert,eng ENG,FW,eng Liverpool,32,1982,3,145,48,26.9,1.6,2,,1,1,,2,0.67,2,3,-1,-0.62,+0.06,Matches
398,Frank Lampard,eng ENG,MF,eng Manchester City,36,1978,3,126,42,17.5,1.4,1,,1,2,,3,1.33,3,2,+1,+0.71,+1.02,Matches
399,Mitchell Langerak,au AUS,GK,de Dortmund,25,1988,1,90,90,12.5,1.0,1,,1,0,,7,1.00,1,1,0,0.00,-0.86,Matches
400,Aymeric Laporte,es ESP,DF,es Athletic Club,20,1994,5,450,90,83.3,5.0,5,,5,0,,0,1.14,4,6,-2,-0.40,-3.40,Matches
401,Ezequiel Lavezzi,ar ARG,"FW,MF",fr Paris S-G,29,1985,8,390,49,41.9,4.3,4,,1,4,,0,1.13,6,7,-1,-0.23,-0.23,Matches
402,Lucas Leiva,br BRA,MF,eng Liverpool,27,1987,4,255,64,47.2,2.8,3,,1,1,,1,1.25,4,5,-1,-0.35,+0.59,Matches
403,Bernd Leno,de GER,GK,de Leverkusen,22,1992,8,750,94,100.0,8.3,8,,8,0,,0,1.90,8,5,+3,+0.36,,Matches
404,Robert Lewandowski,pl POL,FW,de Bayern Munich,25,1988,12,931,78,86.2,10.3,10,,7,2,,0,2.08,30,11,+19,+1.84,+1.23,Matches
405,Stephan Lichtsteiner,ch SUI,"DF,MF",it Juventus,30,1984,13,1169,90,99.9,13.0,13,,11,0,,0,1.85,17,10,+7,+0.54,+0.54,Matches
406,Dzmitry Likhtarovich,by BLR,MF,by BATE Borisov,36,1978,3,106,35,19.6,1.2,2,,0,1,,0,1.17,0,10,-10,-8.49,-6.83,Matches
407,Lima,br BRA,FW,pt Benfica,31,1983,6,388,65,71.9,4.3,4,,2,2,,0,0.83,2,4,-2,-0.46,+0.72,Matches
408,Adem Ljajić,rs SRB,"FW,MF",it Roma,22,1991,4,184,46,34.1,2.0,2,,0,2,,2,1.00,1,3,-2,-0.98,+0.03,Matches
409,Fernando Llorente,es ESP,FW,it Juventus,29,1985,9,414,46,35.4,4.6,4,,2,5,,4,1.67,4,3,+1,+0.22,-0.50,Matches
410,Yuri Lodygin,ru RUS,GK,ru Zenit,24,1990,6,540,90,100.0,6.0,6,,6,0,,0,1.60,4,6,-2,-0.33,,Matches
411,Ruben Loftus-Cheek,eng ENG,MF,eng Chelsea,18,1996,1,7,7,0.9,0.1,0,,0,1,,0,3.00,0,0,0,0.00,-1.70,Matches
412,Nicolas Lombaerts,be BEL,DF,ru Zenit,29,1985,6,473,79,87.6,5.3,6,,5,0,,0,1.78,3,6,-3,-0.57,-9.97,Matches
413,Paulo Lopes,pt POR,GK,pt Benfica,36,1978,1,70,70,13.0,0.8,0,,0,1,,2,0.00,0,1,-1,-1.29,-0.71,Matches
414,Adrián López,es ESP,FW,pt Porto,26,1988,5,162,32,18.0,1.8,2,,1,3,,1,2.20,9,2,+7,+3.89,+2.79,Matches
